date,total_cases,new_cases,total_deaths,new_deaths,total_vaccinations
2021-01-01,20811596.0,95351.0,339233.0,1579.0,5630574.0
2021-01-02,20862424.0,50828.0,340111.0,878.0,5703688.0
2021-01-03,20932083.0,69659.0,341277.0,1166.0,5855399.0
2021-01-04,21004254.0,72171.0,342346.0,1069.0,6010191.0
2021-01-05,21086749.0,82495.0,343575.0,1229.0,6965746.0
2021-01-06,21174329.0,87580.0,344643.0,1068.0,7212592.0
2021-01-07,21261955.0,87626.0,345785.0,1142.0,7394535.0
2021-01-08,21329390.0,67435.0,346681.0,896.0,7520848.0
2021-01-09,21434352.0,104962.0,347981.0,1300.0,12190515.0
2021-01-10,21510828.0,76476.0,348953.0,972.0,12306260.0
2021-01-11,21585205.0,74377.0,349949.0,996.0,12436347.0
2021-01-12,21667187.0,81982.0,351333.0,1384.0,12614654.0
2021-01-13,21754235.0,87048.0,352664.0,1331.0,13844463.0
2021-01-14,21840686.0,86451.0,353827.0,1163.0,14383734.0
2021-01-15,21923274.0,82588.0,355030.0,1203.0,14925615.0
2021-01-16,22009007.0,85733.0,356138.0,1108.0,15482107.0
2021-01-17,22084190.0,75183.0,357185.0,1047.0,15783090.0
2021-01-18,22148742.0,64552.0,358255.0,1070.0,16418735.0
2021-01-19,22223494.0,74752.0,359481.0,1226.0,17068174.0
2021-01-20,22305228.0,81734.0,360669.0,1188.0,22619127.0
2021-01-21,22381567.0,76339.0,361916.0,1247.0,23242782.0
2021-01-22,22457225.0,75658.0,362965.0,1049.0,24065373.0
2021-01-23,22530405.0,73180.0,364011.0,1046.0,24589992.0
2021-01-24,22597309.0,66904.0,365032.0,1021.0,24930860.0
2021-01-25,22657024.0,59715.0,366152.0,1120.0,25715194.0
2021-01-26,22732239.0,75215.0,367374.0,1222.0,26257525.0
2021-01-27,22812215.0,79976.0,368639.0,1265.0,34872704.0
2021-01-28,22895127.0,82912.0,369999.0,1360.0,36050091.0
2021-01-29,22971924.0,76797.0,370969.0,970.0,37139808.0
2021-01-30,23046198.0,74274.0,372240.0,1271.0,37769348.0
2021-01-31,23113687.0,67489.0,373325.0,1085.0,39480869.0
2021-02-01,23179554.0,65867.0,374310.0,985.0,40255254.0
2021-02-02,23248841.0,69287.0,375429.0,1119.0,40884938.0
2021-02-03,23325191.0,76350.0,376429.0,1000.0,48839339.0
2021-02-04,23398048.0,72857.0,377449.0,1020.0,49927466.0
2021-02-05,23466809.0,68761.0,378362.0,913.0,51121160.0
2021-02-06,23536509.0,69700.0,379230.0,868.0,51878548.0
2021-02-07,23602565.0,66056.0,380107.0,877.0,52203703.0
2021-02-08,23661993.0,59428.0,380999.0,892.0,53001272.0
2021-02-09,23729998.0,68005.0,381938.0,939.0,63233918.0
2021-02-10,23801051.0,71053.0,382908.0,970.0,64457111.0
2021-02-11,23866039.0,64988.0,383742.0,834.0,65392766.0
2021-02-12,23932834.0,66795.0,384624.0,882.0,66605690.0
2021-02-13,23995889.0,63055.0,385482.0,858.0,67685232.0
2021-02-14,24054564.0,58675.0,386282.0,800.0,68191807.0
2021-02-15,24113932.0,59368.0,386982.0,700.0,69685416.0
2021-02-16,24182681.0,68749.0,387904.0,922.0,71076438.0
2021-02-17,24252171.0,69490.0,388770.0,866.0,72636111.0
2021-02-18,24318890.0,66719.0,389631.0,861.0,74743222.0
2021-02-19,24386118.0,67228.0,390548.0,917.0,76029329.0
2021-02-20,24448821.0,62703.0,391456.0,908.0,77428975.0
2021-02-21,24516302.0,67481.0,392237.0,781.0,77942310.0
2021-02-22,24583551.0,67249.0,392991.0,754.0,79124727.0
2021-02-23,24657253.0,73702.0,393936.0,945.0,80634483.0
2021-02-24,24733680.0,76427.0,395443.0,1507.0,82056522.0
2021-02-25,24809663.0,75983.0,396394.0,951.0,83719951.0
2021-02-26,24884566.0,74903.0,397362.0,968.0,85077070.0
2021-02-27,24954600.0,70034.0,398145.0,783.0,86382360.0
2021-02-28,25022589.0,67989.0,398974.0,829.0,98859962.0
2021-03-01,25091597.0,69008.0,399710.0,736.0,100352126.0
2021-03-02,25168147.0,76550.0,400591.0,881.0,102468813.0
2021-03-03,25248859.0,80712.0,401414.0,823.0,104484369.0
2021-03-04,25329940.0,81081.0,402222.0,808.0,106921289.0
2021-03-05,25410983.0,81043.0,403169.0,947.0,109095577.0
2021-03-06,25487810.0,76827.0,403827.0,658.0,111227540.0
2021-03-07,25565928.0,78118.0,404551.0,724.0,112369914.0
2021-03-08,25645214.0,79286.0,405504.0,953.0,115120054.0
2021-03-09,25728418.0,83204.0,406345.0,841.0,117609212.0
2021-03-10,25818147.0,89729.0,407145.0,800.0,120457227.0
2021-03-11,25909998.0,91851.0,407962.0,817.0,121910899.0
2021-03-12,26003809.0,93811.0,408842.0,880.0,124737050.0
2021-03-13,26092429.0,88620.0,409655.0,813.0,127215167.0
2021-03-14,26183128.0,90699.0,410460.0,805.0,140762409.0
2021-03-15,26276926.0,93798.0,411302.0,842.0,145142994.0
2021-03-16,26379183.0,102257.0,412281.0,979.0,148958640.0
2021-03-17,26494663.0,115480.0,413145.0,864.0,152602252.0
2021-03-18,26614888.0,120225.0,414108.0,963.0,155966411.0
2021-03-19,26736547.0,121659.0,415047.0,939.0,161597907.0
2021-03-20,26856229.0,119682.0,415929.0,882.0,175211296.0
2021-03-21,26981572.0,125343.0,419108.0,3179.0,176292795.0
2021-03-22,27102209.0,120637.0,420164.0,1056.0,186877638.0
2021-03-23,27236493.0,134284.0,421232.0,1068.0,193723204.0
2021-03-24,27383157.0,146664.0,422353.0,1121.0,200229609.0
2021-03-25,27538156.0,154999.0,423468.0,1115.0,209411776.0
2021-03-26,27694541.0,156385.0,424574.0,1106.0,219445153.0
2021-03-27,27847144.0,152603.0,425743.0,1169.0,227581693.0
2021-03-28,28010144.0,163000.0,426909.0,1166.0,232828948.0
2021-03-29,28162967.0,152823.0,428055.0,1146.0,239067329.0
2021-03-30,28324189.0,161222.0,429312.0,1257.0,245918781.0
2021-03-31,28507539.0,183350.0,430775.0,1463.0,256235083.0
2021-04-01,28705673.0,198134.0,432199.0,1424.0,268527928.0
2021-04-02,28916095.0,210422.0,433804.0,1605.0,280786930.0
2021-04-03,29124812.0,208717.0,435299.0,1495.0,287547509.0
2021-04-04,29349420.0,224608.0,437085.0,1786.0,294947165.0
2021-04-05,29559014.0,209594.0,438574.0,1489.0,302942925.0
2021-04-06,29804574.0,245560.0,440663.0,2089.0,312371940.0
2021-04-07,30073075.0,268501.0,442663.0,2000.0,320098922.0
2021-04-08,30353550.0,280475.0,444674.0,2011.0,332649262.0
2021-04-09,30646718.0,293168.0,446901.0,2227.0,343332988.0
2021-04-10,30935537.0,288819.0,449031.0,2130.0,352220491.0
2021-04-11,31241352.0,305815.0,451337.0,2306.0,359005591.0
2021-04-12,31544498.0,303146.0,453645.0,2308.0,369282400.0
