date,total_cases,new_cases,total_deaths,new_deaths,total_vaccinations
2021-01-01,612564.0,3591.0,16660.0,52.0,8656.0
2021-01-02,615902.0,3338.0,16724.0,64.0,8656.0
2021-01-03,618191.0,2289.0,16767.0,43.0,8656.0
2021-01-04,620641.0,2450.0,16767.0,0.0,9061.0
2021-01-05,623101.0,2460.0,16788.0,21.0,10504.0
2021-01-06,625483.0,2382.0,16816.0,28.0,10709.0
2021-01-07,629176.0,3693.0,16913.0,97.0,10709.0
2021-01-08,633381.0,4205.0,16974.0,61.0,10709.0
2021-01-09,637742.0,4361.0,17037.0,63.0,10709.0
2021-01-10,641923.0,4181.0,17096.0,59.0,10709.0
2021-01-11,645892.0,3969.0,17162.0,66.0,10709.0
2021-01-12,649135.0,3243.0,17182.0,20.0,10709.0
2021-01-13,652525.0,3390.0,17204.0,22.0,11742.0
2021-01-14,656712.0,4187.0,17294.0,90.0,18659.0
2021-01-15,661180.0,4468.0,17369.0,75.0,22090.0
2021-01-16,665493.0,4313.0,17435.0,66.0,22180.0
2021-01-17,669832.0,4339.0,17477.0,42.0,22180.0
2021-01-18,673750.0,3918.0,17547.0,70.0,33231.0
2021-01-19,677151.0,3401.0,17573.0,26.0,52596.0
2021-01-20,680740.0,3589.0,17594.0,21.0,61905.0
2021-01-21,685107.0,4367.0,17702.0,108.0,64962.0
2021-01-22,690066.0,4959.0,17786.0,84.0,65377.0
2021-01-23,694647.0,4581.0,17854.0,68.0,65377.0
2021-01-24,699110.0,4463.0,17933.0,79.0,65377.0
2021-01-25,703178.0,4068.0,17999.0,66.0,66797.0
2021-01-26,706500.0,3322.0,18023.0,24.0,67411.0
2021-01-27,709888.0,3388.0,18040.0,17.0,67446.0
2021-01-28,714143.0,4255.0,18174.0,134.0,67446.0
2021-01-29,718749.0,4606.0,18257.0,83.0,67451.0
2021-01-30,722900.0,4151.0,18339.0,82.0,67452.0
2021-01-31,727109.0,4209.0,18452.0,113.0,67452.0
2021-02-01,730888.0,3779.0,18537.0,85.0,67452.0
2021-02-02,734035.0,3147.0,18559.0,22.0,80642.0
2021-02-03,736645.0,2610.0,18576.0,17.0,251027.0
2021-02-04,740237.0,3592.0,18731.0,155.0,427180.0
2021-02-05,744019.0,3782.0,18808.0,77.0,596687.0
2021-02-06,748082.0,4063.0,18895.0,87.0,624545.0
2021-02-07,751886.0,3804.0,18974.0,79.0,633185.0
2021-02-08,755350.0,3464.0,19056.0,82.0,866484.0
2021-02-09,758189.0,2839.0,19084.0,28.0,1128383.0
2021-02-10,760576.0,2387.0,19105.0,21.0,1409174.0
2021-02-11,764307.0,3731.0,19262.0,157.0,1663470.0
2021-02-12,768471.0,4164.0,19345.0,83.0,1892963.0
2021-02-13,772396.0,3925.0,19443.0,98.0,1922522.0
2021-02-14,776209.0,3813.0,19541.0,98.0,1926990.0
2021-02-15,779541.0,3332.0,19624.0,83.0,2192867.0
2021-02-16,782039.0,2498.0,19644.0,20.0,2412959.0
