date,total_cases,new_cases,total_deaths,new_deaths,total_vaccinations
2021-01-01,28406.0,416.0,234.0,5.0,2475.0
2021-01-02,28789.0,383.0,241.0,7.0,2505.0
2021-01-03,29131.0,342.0,244.0,3.0,2523.0
2021-01-04,29521.0,390.0,251.0,7.0,3165.0
2021-01-05,29950.0,429.0,258.0,7.0,4976.0
2021-01-06,30667.0,717.0,261.0,3.0,6587.0
2021-01-07,31751.0,1084.0,265.0,4.0,7929.0
2021-01-08,32537.0,786.0,270.0,5.0,10144.0
2021-01-09,33089.0,552.0,278.0,8.0,10695.0
2021-01-10,33516.0,427.0,283.0,5.0,10918.0
2021-01-11,33805.0,289.0,287.0,4.0,11768.0
2021-01-12,34138.0,333.0,292.0,5.0,13348.0
2021-01-13,34991.0,853.0,301.0,9.0,14743.0
2021-01-14,35621.0,630.0,311.0,10.0,16523.0
2021-01-15,36096.0,475.0,316.0,5.0,17804.0
2021-01-16,36691.0,595.0,320.0,4.0,18024.0
2021-01-17,37079.0,388.0,325.0,5.0,18120.0
2021-01-18,37344.0,265.0,333.0,8.0,19154.0
2021-01-19,37941.0,597.0,344.0,11.0,20315.0
2021-01-20,38544.0,603.0,349.0,5.0,21797.0
2021-01-21,39212.0,668.0,354.0,5.0,23978.0
2021-01-22,39701.0,489.0,358.0,4.0,25480.0
2021-01-23,40184.0,483.0,368.0,10.0,25738.0
2021-01-24,40716.0,532.0,376.0,8.0,25899.0
2021-01-25,40975.0,259.0,383.0,7.0,26961.0
2021-01-26,41330.0,355.0,392.0,9.0,29355.0
2021-01-27,41966.0,636.0,398.0,6.0,31490.0
2021-01-28,42656.0,690.0,406.0,8.0,33962.0
2021-01-29,43343.0,687.0,409.0,3.0,37168.0
2021-01-30,43747.0,404.0,411.0,2.0,37999.0
2021-01-31,44208.0,461.0,419.0,8.0,38537.0
2021-02-01,44575.0,367.0,422.0,3.0,40146.0
2021-02-02,44978.0,403.0,424.0,2.0,42915.0
2021-02-03,45663.0,685.0,433.0,9.0,46110.0
2021-02-04,46334.0,671.0,443.0,10.0,49711.0
2021-02-05,46925.0,591.0,447.0,4.0,52775.0
2021-02-06,47512.0,587.0,456.0,9.0,53328.0
2021-02-07,47928.0,416.0,461.0,5.0,53385.0
2021-02-08,48267.0,339.0,466.0,5.0,55010.0
2021-02-09,48809.0,542.0,474.0,8.0,58156.0
2021-02-10,49605.0,796.0,477.0,3.0,61654.0
2021-02-11,50280.0,675.0,480.0,3.0,65703.0
2021-02-12,50993.0,713.0,486.0,6.0,68039.0
2021-02-13,51749.0,756.0,491.0,5.0,68330.0
2021-02-14,52416.0,667.0,495.0,4.0,68391.0
2021-02-15,52827.0,411.0,501.0,6.0,69237.0
2021-02-16,53444.0,617.0,508.0,7.0,71639.0
2021-02-17,54300.0,856.0,510.0,2.0,75966.0
2021-02-18,55295.0,995.0,514.0,4.0,82265.0
2021-02-19,56246.0,951.0,518.0,4.0,87037.0
2021-02-20,57033.0,787.0,528.0,10.0,87847.0
2021-02-21,57616.0,583.0,535.0,7.0,88680.0
2021-02-22,58445.0,829.0,540.0,5.0,91672.0
2021-02-23,59407.0,962.0,553.0,13.0,96376.0
2021-02-24,60475.0,1068.0,557.0,4.0,96839.0
2021-02-25,61627.0,1152.0,567.0,10.0,103376.0
2021-02-26,62830.0,1203.0,575.0,8.0,110914.0
2021-02-27,64399.0,1569.0,584.0,9.0,112372.0
2021-02-28,65600.0,1201.0,589.0,5.0,112682.0
2021-03-01,66628.0,1028.0,598.0,9.0,116148.0
2021-03-02,67739.0,1111.0,605.0,7.0,121414.0
2021-03-03,69193.0,1454.0,615.0,10.0,126718.0
2021-03-04,70610.0,1417.0,623.0,8.0,134345.0
2021-03-05,72144.0,1534.0,637.0,14.0,141439.0
2021-03-06,73684.0,1540.0,644.0,7.0,145187.0
2021-03-07,75003.0,1319.0,653.0,9.0,146185.0
2021-03-08,76183.0,1180.0,667.0,14.0,149848.0
2021-03-09,77491.0,1308.0,669.0,2.0,154956.0
2021-03-10,78973.0,1482.0,677.0,8.0,161410.0
2021-03-11,80929.0,1956.0,686.0,9.0,172518.0
2021-03-12,82286.0,1357.0,695.0,9.0,180179.0
2021-03-13,83872.0,1586.0,710.0,15.0,185681.0
2021-03-14,84807.0,935.0,719.0,9.0,190962.0
2021-03-15,86086.0,1279.0,728.0,9.0,194582.0
2021-03-16,87548.0,1462.0,739.0,11.0,199122.0
2021-03-17,89331.0,1783.0,745.0,6.0,204548.0
2021-03-18,91031.0,1700.0,758.0,13.0,211968.0
2021-03-19,92780.0,1749.0,769.0,11.0,220588.0
2021-03-20,94028.0,1248.0,780.0,11.0,222866.0
2021-03-21,95401.0,1373.0,787.0,7.0,224207.0
2021-03-22,96394.0,993.0,797.0,10.0,226695.0
2021-03-23,97456.0,1062.0,809.0,12.0,229620.0
2021-03-24,99008.0,1552.0,823.0,14.0,235271.0
2021-03-25,100437.0,1429.0,836.0,13.0,245308.0
2021-03-26,101587.0,1150.0,847.0,11.0,251983.0
2021-03-27,102738.0,1151.0,860.0,13.0,254372.0
2021-03-28,103630.0,892.0,868.0,8.0,254907.0
2021-03-29,104214.0,584.0,879.0,11.0,257191.0
2021-03-30,105416.0,1202.0,896.0,17.0,260754.0
2021-03-31,106424.0,1008.0,902.0,6.0,266728.0
2021-04-01,107253.0,829.0,908.0,6.0,278675.0
2021-04-02,108418.0,1165.0,922.0,14.0,282608.0
2021-04-03,108937.0,519.0,931.0,9.0,291030.0
2021-04-04,109399.0,462.0,941.0,10.0,295178.0
