date,total_cases,new_cases,total_deaths,new_deaths,total_vaccinations
2021-01-01,2129376.0,22210.0,74621.0,462.0,51760.0
2021-01-02,2141201.0,11825.0,74985.0,364.0,90608.0
2021-01-03,2155446.0,14245.0,75332.0,347.0,126163.0
2021-01-04,2166244.0,10798.0,75680.0,348.0,195999.0
2021-01-05,2181619.0,15375.0,76329.0,649.0,276660.0
2021-01-06,2201945.0,20326.0,76877.0,548.0,342311.0
2021-01-07,2220361.0,18416.0,77291.0,414.0,435407.0
2021-01-08,2237890.0,17529.0,77911.0,620.0,532060.0
2021-01-09,2257866.0,19976.0,78394.0,483.0,619868.0
2021-01-10,2276491.0,18625.0,78755.0,361.0,680675.0
2021-01-11,2289021.0,12530.0,79203.0,448.0,762770.0
2021-01-12,2303263.0,14242.0,79819.0,616.0,845847.0
2021-01-13,2319036.0,15773.0,80326.0,507.0,941249.0
2021-01-14,2336279.0,17243.0,80848.0,522.0,1035920.0
2021-01-15,2352423.0,16144.0,81325.0,477.0,1126628.0
2021-01-16,2368733.0,16310.0,81800.0,475.0,1192263.0
2021-01-17,2381277.0,12544.0,82177.0,377.0,1229650.0
2021-01-18,2390102.0,8825.0,82554.0,377.0,1274068.0
2021-01-19,2400598.0,10496.0,83157.0,603.0,1307409.0
2021-01-20,2414166.0,13568.0,83681.0,524.0,1338624.0
2021-01-21,2428221.0,14055.0,84202.0,521.0,1374826.0
2021-01-22,2441854.0,13633.0,84674.0,472.0,1401881.0
2021-01-23,2455185.0,13331.0,85162.0,488.0,1441126.0
2021-01-24,2466813.0,11628.0,85461.0,299.0,1475085.0
2021-01-25,2475372.0,8559.0,85881.0,420.0,1544512.0
2021-01-26,2485956.0,10584.0,86422.0,541.0,1625198.0
2021-01-27,2501147.0,15191.0,86889.0,467.0,1696194.0
2021-01-28,2515507.0,14360.0,87381.0,492.0,1790083.0
2021-01-29,2529070.0,13563.0,87858.0,477.0,1888759.0
2021-01-30,2541783.0,12713.0,88279.0,421.0,1979289.0
2021-01-31,2553032.0,11249.0,88516.0,237.0,2039114.0
2021-02-01,2560957.0,7925.0,88845.0,329.0,2125045.0
2021-02-02,2570608.0,9651.0,89344.0,499.0,2213381.0
2021-02-03,2583790.0,13182.0,89820.0,476.0,2313377.0
2021-02-04,2597446.0,13656.0,90241.0,421.0,2421899.0
2021-02-05,2611659.0,14213.0,90618.0,377.0,2529477.0
2021-02-06,2625098.0,13439.0,91003.0,385.0,2607365.0
2021-02-07,2636738.0,11640.0,91273.0,270.0,2649663.0
2021-02-08,2644707.0,7969.0,91580.0,307.0,2716612.0
2021-02-09,2655319.0,10612.0,92002.0,422.0,2783669.0
2021-02-10,2668266.0,12947.0,92338.0,336.0,2856809.0
2021-02-11,2683403.0,15137.0,92729.0,391.0,2931872.0
2021-02-12,2697296.0,13893.0,93045.0,316.0,3006193.0
2021-02-13,2710819.0,13523.0,93356.0,311.0,3059036.0
2021-02-14,2721879.0,11060.0,93577.0,221.0,3089037.0
2021-02-15,2729223.0,7344.0,93835.0,258.0,3152017.0
2021-02-16,2739591.0,10368.0,94171.0,336.0,3223389.0
2021-02-17,2751657.0,12066.0,94540.0,369.0,3304000.0
2021-02-18,2765412.0,13755.0,94887.0,347.0,3394382.0
2021-02-19,2780882.0,15470.0,95235.0,348.0,3487651.0
2021-02-20,2795796.0,14914.0,95486.0,251.0,3566209.0
2021-02-21,2809246.0,13450.0,95718.0,232.0,3617383.0
2021-02-22,2818863.0,9617.0,95992.0,274.0,3723374.0
2021-02-23,2832162.0,13299.0,96348.0,356.0,3830278.0
2021-02-24,2848564.0,16402.0,96666.0,318.0,3952707.0
2021-02-25,2868435.0,19871.0,96974.0,308.0,4081604.0
2021-02-26,2888923.0,20488.0,97227.0,253.0,4220445.0
2021-02-27,2907825.0,18902.0,97507.0,280.0,4347548.0
2021-02-28,2925265.0,17440.0,97699.0,192.0,4426072.0
2021-03-01,2938371.0,13106.0,97945.0,246.0,4562183.0
2021-03-02,2955434.0,17063.0,98288.0,343.0,4724699.0
2021-03-03,2976274.0,20840.0,98635.0,347.0,4912572.0
2021-03-04,2999119.0,22845.0,98974.0,339.0,5111228.0
2021-03-05,3023129.0,24010.0,99271.0,297.0,5318071.0
2021-03-06,3046762.0,23633.0,99578.0,307.0,5496528.0
2021-03-07,3067486.0,20724.0,99785.0,207.0,5599760.0
2021-03-08,3081368.0,13882.0,100103.0,318.0,5781966.0
2021-03-09,3101093.0,19725.0,100479.0,376.0,5977971.0
2021-03-10,3123368.0,22275.0,100811.0,332.0,6194457.0
2021-03-11,3149017.0,25649.0,101184.0,373.0,6419678.0
2021-03-12,3175807.0,26790.0,101564.0,380.0,6632648.0
2021-03-13,3201838.0,26031.0,101881.0,317.0,6810080.0
2021-03-14,3223142.0,21304.0,102145.0,264.0,6916280.0
2021-03-15,3238394.0,15252.0,102499.0,354.0,7091847.0
2021-03-16,3258770.0,20376.0,103001.0,502.0,7232546.0
2021-03-17,3281810.0,23040.0,103432.0,431.0,7398826.0
2021-03-18,3306711.0,24901.0,103855.0,423.0,7562984.0
2021-03-19,3332418.0,25707.0,104241.0,386.0,7739382.0
2021-03-20,3356331.0,23913.0,104642.0,401.0,7915690.0
2021-03-21,3376376.0,20045.0,104942.0,300.0,8046322.0
2021-03-22,3400877.0,24501.0,105328.0,386.0,8242969.0
2021-03-23,3419616.0,18739.0,105879.0,551.0,8470056.0
2021-03-24,3440862.0,21246.0,106339.0,460.0,8728303.0
2021-03-25,3464543.0,23681.0,106799.0,460.0,9000033.0
2021-03-26,3488619.0,24076.0,107256.0,457.0,9272514.0
2021-03-27,3512453.0,23834.0,107636.0,380.0,9514068.0
2021-03-28,3532057.0,19604.0,107933.0,297.0,9677947.0
2021-03-29,3544957.0,12900.0,108350.0,417.0,9922003.0
2021-03-30,3561012.0,16055.0,108879.0,529.0,10192585.0
2021-03-31,3584899.0,23887.0,109346.0,467.0,10499776.0
2021-04-01,3607083.0,22184.0,109847.0,501.0,10788241.0
2021-04-02,3629000.0,21917.0,110328.0,481.0,11071616.0
2021-04-03,3650247.0,21247.0,110704.0,376.0,11302367.0
2021-04-04,3668264.0,18017.0,111030.0,326.0,11398617.0
2021-04-05,3678944.0,10680.0,111326.0,296.0,11569783.0
2021-04-06,3686707.0,7763.0,111747.0,421.0,11856379.0
2021-04-07,3700393.0,13686.0,112374.0,627.0,12190793.0
2021-04-08,3717602.0,17209.0,112861.0,487.0,12530579.0
2021-04-09,3736526.0,18924.0,113579.0,718.0,12866727.0
2021-04-10,3754077.0,17551.0,113923.0,344.0,13188580.0
2021-04-11,3769814.0,15737.0,114254.0,331.0,13391018.0
2021-04-12,3779594.0,9780.0,114612.0,358.0,13659019.0
2021-04-13,3793033.0,13439.0,115088.0,476.0,13949169.0
2021-04-14,3809193.0,16160.0,115557.0,469.0,14271246.0
2021-04-15,3826156.0,16963.0,115937.0,380.0,14624029.0
2021-04-16,3842079.0,15923.0,116366.0,429.0,15005173.0
2021-04-17,3857443.0,15364.0,116676.0,310.0,15365957.0
2021-04-18,3870131.0,12688.0,116927.0,251.0,15608697.0
2021-04-19,3878994.0,8863.0,117243.0,316.0,15920364.0
2021-04-20,3891063.0,12069.0,117633.0,390.0,16254896.0
2021-04-21,3904899.0,13836.0,117997.0,364.0,16628983.0
2021-04-22,3920945.0,16046.0,118357.0,360.0,17029315.0
2021-04-23,3935703.0,14758.0,118699.0,342.0,17435561.0
2021-04-24,3949517.0,13814.0,119021.0,322.0,17823522.0
2021-04-25,3962674.0,13157.0,119238.0,217.0,18091808.0
2021-04-26,3971114.0,8440.0,119539.0,301.0,18437070.0
2021-04-27,3981512.0,10398.0,119912.0,373.0,18811515.0
2021-04-28,3994894.0,13382.0,120256.0,344.0,19221327.0
2021-04-29,4009208.0,14314.0,120544.0,288.0,19752444.0
2021-04-30,4022653.0,13445.0,120807.0,263.0,20282251.0
2021-05-01,4035617.0,12964.0,121033.0,226.0,20716488.0
2021-05-02,4044762.0,9145.0,121177.0,144.0,21087286.0
2021-05-03,4050708.0,5946.0,121433.0,256.0,21500948.0
2021-05-04,4059821.0,9113.0,121738.0,305.0,21954237.0
2021-05-05,4070400.0,10579.0,122005.0,267.0,22440998.0
2021-05-06,4082198.0,11798.0,122263.0,258.0,22962886.0
2021-05-07,4092747.0,10549.0,122470.0,207.0,23508806.0
2021-05-08,4102921.0,10174.0,122694.0,224.0,24023345.0
2021-05-09,4111210.0,8289.0,122833.0,139.0,24407557.0
2021-05-10,4116287.0,5077.0,123031.0,198.0,24849648.0
2021-05-11,4123230.0,6943.0,123282.0,251.0,25308014.0
2021-05-12,4131078.0,7848.0,123544.0,262.0,25793625.0
2021-05-13,4139160.0,8082.0,123745.0,201.0,26323797.0
2021-05-14,4146722.0,7562.0,123927.0,182.0,26879614.0
2021-05-15,4153374.0,6652.0,124063.0,136.0,27425156.0
