date,total_cases,new_cases,total_deaths,new_deaths,total_vaccinations
2021-01-01,41615.0,711.0,644.0,9.0,2337.0
2021-01-02,41929.0,314.0,668.0,24.0,2339.0
2021-01-03,42497.0,568.0,680.0,12.0,2343.0
2021-01-04,43118.0,621.0,692.0,12.0,3050.0
2021-01-05,43942.0,824.0,722.0,30.0,3947.0
2021-01-06,45171.0,1229.0,754.0,32.0,4730.0
2021-01-07,46545.0,1374.0,790.0,36.0,5543.0
2021-01-08,47782.0,1237.0,801.0,11.0,6463.0
2021-01-09,48952.0,1170.0,818.0,17.0,6774.0
2021-01-10,49568.0,616.0,849.0,31.0,7111.0
2021-01-11,49899.0,331.0,864.0,15.0,8487.0
2021-01-12,50777.0,878.0,882.0,18.0,10126.0
2021-01-13,52032.0,1255.0,909.0,27.0,11649.0
2021-01-14,52982.0,950.0,920.0,11.0,13493.0
2021-01-15,54066.0,1084.0,935.0,15.0,15372.0
2021-01-16,55097.0,1031.0,961.0,26.0,16046.0
2021-01-17,55664.0,567.0,978.0,17.0,16172.0
2021-01-18,55908.0,244.0,983.0,5.0,17030.0
2021-01-19,56720.0,812.0,1012.0,29.0,17919.0
2021-01-20,57808.0,1088.0,1032.0,20.0,18709.0
2021-01-21,58710.0,902.0,1057.0,25.0,19003.0
2021-01-22,59586.0,876.0,1076.0,19.0,19234.0
2021-01-23,60496.0,910.0,1097.0,21.0,19370.0
2021-01-24,61008.0,512.0,1111.0,14.0,19375.0
2021-01-25,61231.0,223.0,1114.0,3.0,20054.0
2021-01-26,61924.0,693.0,1126.0,12.0,20924.0
2021-01-27,63027.0,1103.0,1138.0,12.0,21762.0
2021-01-28,63992.0,965.0,1148.0,10.0,22556.0
2021-01-29,64923.0,931.0,1166.0,18.0,23526.0
2021-01-30,65708.0,785.0,1180.0,14.0,23846.0
2021-01-31,66241.0,533.0,1195.0,15.0,24195.0
2021-02-01,66652.0,411.0,1202.0,7.0,25392.0
2021-02-02,67427.0,775.0,1219.0,17.0,27222.0
2021-02-03,68658.0,1231.0,1250.0,31.0,28857.0
2021-02-04,69400.0,742.0,1281.0,31.0,30372.0
2021-02-05,70276.0,876.0,1309.0,28.0,32048.0
2021-02-06,71320.0,1044.0,1327.0,18.0,32625.0
2021-02-07,71800.0,480.0,1339.0,12.0,32755.0
2021-02-08,72088.0,288.0,1347.0,8.0,33176.0
2021-02-09,72869.0,781.0,1363.0,16.0,33368.0
2021-02-10,73859.0,990.0,1395.0,32.0,34021.0
2021-02-11,74701.0,842.0,1416.0,21.0,35828.0
2021-02-12,75509.0,808.0,1431.0,15.0,37582.0
2021-02-13,76282.0,773.0,1443.0,12.0,37988.0
2021-02-14,76706.0,424.0,1451.0,8.0,38018.0
2021-02-15,76984.0,278.0,1468.0,17.0,38902.0
2021-02-16,77697.0,713.0,1486.0,18.0,40309.0
2021-02-17,78643.0,946.0,1508.0,22.0,42329.0
2021-02-18,79351.0,708.0,1521.0,13.0,43893.0
2021-02-19,80040.0,689.0,1533.0,12.0,45281.0
2021-02-20,81109.0,1069.0,1538.0,5.0,46038.0
2021-02-21,81519.0,410.0,1542.0,4.0,46855.0
2021-02-22,81793.0,274.0,1546.0,4.0,48651.0
2021-02-23,82462.0,669.0,1570.0,24.0,51067.0
2021-02-24,83445.0,983.0,1587.0,17.0,55409.0
2021-02-25,84258.0,813.0,1593.0,6.0,59625.0
2021-02-26,84983.0,725.0,1601.0,8.0,63032.0
2021-02-27,85810.0,827.0,1614.0,13.0,63635.0
2021-02-28,86186.0,376.0,1618.0,4.0,63774.0
2021-03-01,86458.0,272.0,1621.0,3.0,65738.0
2021-03-02,87103.0,645.0,1638.0,17.0,68178.0
2021-03-03,88022.0,919.0,1654.0,16.0,72852.0
2021-03-04,88668.0,646.0,1666.0,12.0,79651.0
2021-03-05,89414.0,746.0,1680.0,14.0,85329.0
2021-03-06,90009.0,595.0,1687.0,7.0,86252.0
2021-03-07,90331.0,322.0,1695.0,8.0,86346.0
2021-03-08,90525.0,194.0,1699.0,4.0,88310.0
2021-03-09,90997.0,472.0,1705.0,6.0,90988.0
2021-03-10,91636.0,639.0,1726.0,21.0,93847.0
2021-03-11,92274.0,638.0,1737.0,11.0,96920.0
2021-03-12,92906.0,632.0,1746.0,9.0,102794.0
2021-03-13,93484.0,578.0,1757.0,11.0,103883.0
2021-03-14,93781.0,297.0,1767.0,10.0,103963.0
2021-03-15,93959.0,178.0,1769.0,2.0,108363.0
2021-03-16,94602.0,643.0,1777.0,8.0,108582.0
2021-03-17,95420.0,818.0,1789.0,12.0,108779.0
2021-03-18,95902.0,482.0,1801.0,12.0,109081.0
2021-03-19,96524.0,622.0,1811.0,10.0,109937.0
2021-03-20,97149.0,625.0,1821.0,10.0,110368.0
2021-03-21,97409.0,260.0,1826.0,5.0,110410.0
2021-03-22,97586.0,177.0,1828.0,2.0,113467.0
2021-03-23,98094.0,508.0,1840.0,12.0,119773.0
2021-03-24,98870.0,776.0,1851.0,11.0,126795.0
2021-03-25,99476.0,606.0,1864.0,13.0,132820.0
2021-03-26,100114.0,638.0,1867.0,3.0,137209.0
2021-03-27,100716.0,602.0,1872.0,5.0,137809.0
2021-03-28,101040.0,324.0,1878.0,6.0,137850.0
2021-03-29,101207.0,167.0,1883.0,5.0,140195.0
2021-03-30,101733.0,526.0,1893.0,10.0,145666.0
2021-03-31,102363.0,630.0,1899.0,6.0,151938.0
2021-04-01,103001.0,638.0,1913.0,14.0,156422.0
2021-04-02,103588.0,587.0,1922.0,9.0,157018.0
2021-04-03,103867.0,279.0,1923.0,1.0,160533.0
2021-04-04,104105.0,238.0,1931.0,8.0,162168.0
2021-04-05,104224.0,119.0,1934.0,3.0,165053.0
2021-04-06,104533.0,309.0,1937.0,3.0,170731.0
2021-04-07,105176.0,643.0,1946.0,9.0,180460.0
2021-04-08,105916.0,740.0,1963.0,17.0,187803.0
2021-04-09,106574.0,658.0,1981.0,18.0,193065.0
2021-04-10,107240.0,666.0,1986.0,5.0,194895.0
2021-04-11,107608.0,368.0,1986.0,0.0,195000.0
2021-04-12,107818.0,210.0,1990.0,4.0,197618.0
2021-04-13,108355.0,537.0,2002.0,12.0,201598.0
2021-04-14,109088.0,733.0,2019.0,17.0,208133.0
2021-04-15,109731.0,643.0,2030.0,11.0,214211.0
2021-04-16,110343.0,612.0,2042.0,12.0,223467.0
2021-04-17,110997.0,654.0,2048.0,6.0,229816.0
2021-04-18,111334.0,337.0,2053.0,5.0,230752.0
2021-04-19,111536.0,202.0,2056.0,3.0,234778.0
2021-04-20,112224.0,688.0,2071.0,15.0,242212.0
2021-04-21,112983.0,759.0,2079.0,8.0,252497.0
2021-04-22,113561.0,578.0,2088.0,9.0,262404.0
2021-04-23,114244.0,683.0,2094.0,6.0,273253.0
2021-04-24,114955.0,711.0,2101.0,7.0,279480.0
2021-04-25,115316.0,361.0,2102.0,1.0,280886.0
2021-04-26,115536.0,220.0,2106.0,4.0,285496.0
2021-04-27,116132.0,596.0,2110.0,4.0,293049.0
2021-04-28,117099.0,967.0,2118.0,8.0,307824.0
2021-04-29,117795.0,696.0,2125.0,7.0,322267.0
2021-04-30,118558.0,763.0,2131.0,6.0,333845.0
2021-05-01,119370.0,812.0,2139.0,8.0,340716.0
2021-05-02,119750.0,380.0,2144.0,5.0,342332.0
2021-05-03,119953.0,203.0,2154.0,10.0,345314.0
2021-05-04,120378.0,425.0,2159.0,5.0,354154.0
2021-05-05,120736.0,358.0,2166.0,7.0,370917.0
2021-05-06,121509.0,773.0,2178.0,12.0,392637.0
2021-05-07,122545.0,1036.0,2197.0,19.0,412684.0
2021-05-08,123331.0,786.0,2208.0,11.0,425007.0
2021-05-09,123963.0,632.0,2212.0,4.0,426642.0
2021-05-10,124301.0,338.0,2213.0,1.0,436148.0
2021-05-11,124960.0,659.0,2217.0,4.0,454186.0
2021-05-12,125689.0,729.0,2223.0,6.0,476835.0
2021-05-13,126378.0,689.0,2240.0,17.0,499017.0
