date,total_cases,new_cases,total_deaths,new_deaths,total_vaccinations
2021-01-01,123950.0,1798.0,2728.0,31.0,11568.0
2021-01-02,124343.0,393.0,2774.0,46.0,11972.0
2021-01-03,125086.0,743.0,2803.0,29.0,12524.0
2021-01-04,125858.0,772.0,2838.0,35.0,13610.0
2021-01-05,128370.0,2512.0,2868.0,30.0,16072.0
2021-01-06,131724.0,3354.0,2899.0,31.0,21433.0
2021-01-07,134545.0,2821.0,2922.0,23.0,26912.0
2021-01-08,136629.0,2084.0,2947.0,25.0,30154.0
2021-01-09,138518.0,1889.0,2973.0,26.0,30408.0
2021-01-10,139281.0,763.0,2998.0,25.0,30409.0
2021-01-11,139713.0,432.0,3022.0,24.0,30888.0
2021-01-12,141587.0,1874.0,3053.0,31.0,32758.0
2021-01-13,143679.0,2092.0,3070.0,17.0,37474.0
2021-01-14,145472.0,1793.0,3093.0,23.0,44202.0
2021-01-15,147016.0,1544.0,3121.0,28.0,49059.0
2021-01-16,148556.0,1540.0,3140.0,19.0,49382.0
2021-01-17,149125.0,569.0,3180.0,40.0,49386.0
2021-01-18,149424.0,299.0,3206.0,26.0,49526.0
2021-01-19,151137.0,1713.0,3231.0,25.0,51292.0
2021-01-20,152851.0,1714.0,3257.0,26.0,54667.0
2021-01-21,154306.0,1455.0,3284.0,27.0,58110.0
2021-01-22,155752.0,1446.0,3309.0,25.0,59910.0
2021-01-23,157293.0,1541.0,3329.0,20.0,60400.0
2021-01-24,157830.0,537.0,3360.0,31.0,60468.0
2021-01-25,158131.0,301.0,3379.0,19.0,60474.0
2021-01-26,159812.0,1681.0,3406.0,27.0,61519.0
2021-01-27,161662.0,1850.0,3425.0,19.0,65045.0
2021-01-28,163235.0,1573.0,3448.0,23.0,69936.0
2021-01-29,164529.0,1294.0,3468.0,20.0,73173.0
2021-01-30,165887.0,1358.0,3490.0,22.0,73279.0
2021-01-31,166473.0,586.0,3503.0,13.0,73282.0
2021-02-01,166836.0,363.0,3522.0,19.0,73340.0
2021-02-02,168486.0,1650.0,3541.0,19.0,74162.0
2021-02-03,170101.0,1615.0,3564.0,23.0,77822.0
2021-02-04,171340.0,1239.0,3580.0,16.0,83591.0
2021-02-05,172299.0,959.0,3595.0,15.0,88194.0
2021-02-06,173201.0,902.0,3612.0,17.0,88700.0
2021-02-07,173702.0,501.0,3623.0,11.0,88700.0
2021-02-08,174000.0,298.0,3635.0,12.0,89098.0
