date,total_cases,new_cases,total_deaths,new_deaths,total_vaccinations
2021-01-01,13241727.0,47568.0,419114.0,1073.0,40669.0
2021-01-02,13281024.0,39297.0,420010.0,896.0,40669.0
2021-01-03,13320726.0,39702.0,420884.0,874.0,40669.0
2021-01-04,13366232.0,45506.0,422029.0,1145.0,48660.0
2021-01-05,13460578.0,94346.0,423906.0,1877.0,50103.0
2021-01-06,13564354.0,103776.0,425960.0,2054.0,50308.0
2021-01-07,13692700.0,128346.0,428312.0,2352.0,50308.0
2021-01-08,13789814.0,97114.0,430125.0,1813.0,118251.0
2021-01-09,13888500.0,98686.0,432149.0,2024.0,118251.0
2021-01-10,13950087.0,61587.0,433359.0,1210.0,118251.0
2021-01-11,14016377.0,66290.0,434743.0,1384.0,118251.0
2021-01-12,14118802.0,102425.0,436728.0,1985.0,118251.0
2021-01-13,14220655.0,101853.0,438845.0,2117.0,178575.0
2021-01-14,14330160.0,109505.0,440971.0,2126.0,185492.0
2021-01-15,14459181.0,129021.0,443049.0,2078.0,222849.0
2021-01-16,14563019.0,103838.0,445052.0,2003.0,222939.0
2021-01-17,14633595.0,70576.0,446554.0,1502.0,223051.0
2021-01-18,14687474.0,53879.0,448274.0,1720.0,235099.0
2021-01-19,14786461.0,98987.0,450651.0,2377.0,264825.0
2021-01-20,14904153.0,117692.0,453102.0,2451.0,338398.0
2021-01-21,15001410.0,97257.0,455623.0,2521.0,470213.0
2021-01-22,15103979.0,102569.0,457993.0,2370.0,594667.0
2021-01-23,15199705.0,95726.0,460387.0,2394.0,895063.0
2021-01-24,15267011.0,67306.0,462152.0,1765.0,965970.0
2021-01-25,15321389.0,54378.0,464009.0,1857.0,1064907.0
2021-01-26,15429130.0,107741.0,466770.0,2761.0,1228050.0
2021-01-27,15527042.0,97912.0,469284.0,2514.0,1521944.0
2021-01-28,15628556.0,101514.0,471812.0,2528.0,1853147.0
2021-01-29,15724104.0,95548.0,474444.0,2632.0,2086620.0
2021-01-30,15823179.0,99075.0,476776.0,2332.0,2444177.0
2021-01-31,15877836.0,54657.0,478635.0,1859.0,2515095.0
2021-02-01,15925451.0,47615.0,480464.0,1829.0,2576701.0
2021-02-02,16011095.0,85644.0,482919.0,2455.0,2760359.0
2021-02-03,16110634.0,99539.0,485474.0,2555.0,3185211.0
2021-02-04,16194464.0,83830.0,487772.0,2298.0,3960282.0
2021-02-05,16277157.0,82693.0,490576.0,2804.0,4131641.0
2021-02-06,16309078.0,31921.0,491624.0,1048.0,4513342.0
2021-02-07,16417234.0,108156.0,494232.0,2608.0,4704049.0
2021-02-08,16433349.0,16115.0,495598.0,1366.0,4999638.0
2021-02-09,16539064.0,105715.0,498992.0,3394.0,5481647.0
2021-02-10,16619362.0,80298.0,501330.0,2338.0,6101276.0
2021-02-11,16703528.0,84166.0,504089.0,2759.0,6721932.0
