location,date,total_cases,new_cases,total_deaths,new_deaths,total_vaccinations
Africa,2021-04-01,4239522.0,22219.0,113165.0,408.0,11729825.0
Africa,2021-04-02,4252617.0,13095.0,113411.0,246.0,11883589.0
Africa,2021-04-03,4261396.0,8779.0,113579.0,168.0,12018828.0
Africa,2021-04-04,4270942.0,9546.0,113851.0,272.0,12082780.0
Africa,2021-04-05,4280166.0,9224.0,114081.0,230.0,12236282.0
Africa,2021-04-06,4289778.0,9612.0,114317.0,236.0,12575036.0
Africa,2021-04-07,4301465.0,11687.0,114584.0,267.0,12960258.0
Africa,2021-04-08,4318248.0,16783.0,114935.0,351.0,13685750.0
Africa,2021-04-09,4330817.0,12569.0,115198.0,263.0,13840825.0
Africa,2021-04-10,4340538.0,9721.0,115421.0,223.0,14000751.0
Africa,2021-04-11,4350282.0,9744.0,115710.0,289.0,14150137.0
Africa,2021-04-12,4360495.0,10213.0,115973.0,263.0,14259556.0
Africa,2021-04-13,4370251.0,9756.0,116377.0,404.0,14372773.0
Africa,2021-04-14,4384176.0,13925.0,116745.0,368.0,14720408.0
Africa,2021-04-15,4396821.0,12645.0,117059.0,314.0,14863081.0
Africa,2021-04-16,4408875.0,12054.0,117366.0,307.0,15071502.0
Africa,2021-04-17,4422235.0,13360.0,117646.0,280.0,15369995.0
Africa,2021-04-18,4431581.0,9346.0,117898.0,252.0,15940217.0
Africa,2021-04-19,4440330.0,8749.0,118197.0,299.0,16153571.0
Africa,2021-04-20,4450452.0,10122.0,118608.0,411.0,16319878.0
Africa,2021-04-21,4462320.0,11868.0,118919.0,311.0,16544360.0
Africa,2021-04-22,4474791.0,12471.0,119226.0,307.0,16629919.0
Africa,2021-04-23,4486853.0,12062.0,119603.0,377.0,16816072.0
Africa,2021-04-24,4497006.0,10153.0,119840.0,237.0,16889560.0
Africa,2021-04-25,4506465.0,9459.0,120131.0,291.0,16968624.0
Africa,2021-04-26,4513326.0,6861.0,120428.0,297.0,17067708.0
Africa,2021-04-27,4523125.0,9799.0,120794.0,366.0,17236944.0
Africa,2021-04-28,4532624.0,9499.0,121134.0,340.0,18296567.0
Africa,2021-04-29,4548223.0,15599.0,121530.0,396.0,18412478.0
Africa,2021-04-30,4557664.0,9441.0,121783.0,253.0,18553633.0
Argentina,2021-04-01,2363251.0,14430.0,55941.0,83.0,4023017.0
Argentina,2021-04-02,2373153.0,9902.0,56023.0,82.0,4123152.0
Argentina,2021-04-03,2383537.0,10384.0,56106.0,83.0,4178896.0
Argentina,2021-04-04,2393492.0,9955.0,56199.0,93.0,4234505.0
Argentina,2021-04-05,2407159.0,13667.0,56471.0,272.0,4260808.0
Argentina,2021-04-06,2428029.0,20870.0,56634.0,163.0,4404175.0
Argentina,2021-04-07,2450068.0,22039.0,56832.0,198.0,4571819.0
Argentina,2021-04-08,2473751.0,23683.0,57122.0,290.0,4771214.0
Argentina,2021-04-09,2497881.0,24130.0,57350.0,228.0,4956023.0
Argentina,2021-04-10,2517300.0,19419.0,57647.0,297.0,5201468.0
Argentina,2021-04-11,2532562.0,15262.0,57779.0,132.0,5313612.0
Argentina,2021-04-12,2551999.0,19437.0,57957.0,178.0,5390000.0
Argentina,2021-04-13,2579000.0,27001.0,58174.0,217.0,5571878.0
Argentina,2021-04-14,2604157.0,25157.0,58542.0,368.0,5754919.0
Argentina,2021-04-15,2629156.0,24999.0,58925.0,383.0,5935146.0
Argentina,2021-04-16,2658628.0,29472.0,59084.0,159.0,6093016.0
Argentina,2021-04-17,2677747.0,19119.0,59164.0,80.0,6226872.0
Argentina,2021-04-18,2694014.0,16267.0,59228.0,64.0,6288812.0
Argentina,2021-04-19,2714475.0,20461.0,59476.0,248.0,6334554.0
Argentina,2021-04-20,2743620.0,29145.0,59792.0,316.0,6433141.0
Argentina,2021-04-21,2769552.0,25932.0,60083.0,291.0,6550568.0
Argentina,2021-04-22,2796768.0,27216.0,60620.0,537.0,6693438.0
Argentina,2021-04-23,2824652.0,27884.0,61176.0,556.0,6807411.0
Argentina,2021-04-24,2845872.0,21220.0,61474.0,298.0,7017279.0
Argentina,2021-04-25,2860884.0,15012.0,61644.0,170.0,7134949.0
Argentina,2021-04-26,2879677.0,18793.0,62087.0,443.0,7214704.0
Argentina,2021-04-27,2905172.0,25495.0,62599.0,512.0,7386650.0
Argentina,2021-04-28,2928890.0,23718.0,62947.0,348.0,7557986.0
Argentina,2021-04-29,2954943.0,26053.0,63508.0,561.0,7715006.0
Argentina,2021-04-30,2977363.0,22420.0,63865.0,357.0,7865213.0
Asia,2021-04-01,28705673.0,198134.0,432199.0,1424.0,268527928.0
Asia,2021-04-02,28916095.0,210422.0,433804.0,1605.0,280786930.0
Asia,2021-04-03,29124812.0,208717.0,435299.0,1495.0,287547509.0
Asia,2021-04-04,29349420.0,224608.0,437085.0,1786.0,294947165.0
Asia,2021-04-05,29559014.0,209594.0,438574.0,1489.0,302942925.0
Asia,2021-04-06,29804574.0,245560.0,440663.0,2089.0,312371940.0
Asia,2021-04-07,30073075.0,268501.0,442663.0,2000.0,320098922.0
Asia,2021-04-08,30353550.0,280475.0,444674.0,2011.0,332649262.0
Asia,2021-04-09,30646718.0,293168.0,446901.0,2227.0,343332988.0
Asia,2021-04-10,30935537.0,288819.0,449031.0,2130.0,352220491.0
Asia,2021-04-11,31241352.0,305815.0,451337.0,2306.0,359005591.0
Asia,2021-04-12,31544498.0,303146.0,453645.0,2308.0,369282400.0
Asia,2021-04-13,31877292.0,332794.0,456066.0,2421.0,377020193.0
Asia,2021-04-14,32234145.0,356853.0,458530.0,2464.0,385389407.0
Asia,2021-04-15,32605753.0,371608.0,461223.0,2693.0,394233814.0
Asia,2021-04-16,32994455.0,388702.0,464009.0,2786.0,401798319.0
Asia,2021-04-17,33404237.0,409782.0,466932.0,2923.0,407851290.0
Asia,2021-04-18,33819010.0,414773.0,470300.0,3368.0,413544835.0
Asia,2021-04-19,34218783.0,399773.0,473630.0,3330.0,421141716.0
Asia,2021-04-20,34667363.0,448580.0,477337.0,3707.0,426871328.0
Asia,2021-04-21,35138942.0,471579.0,481141.0,3804.0,436460157.0
Asia,2021-04-22,35621687.0,482745.0,485087.0,3946.0,448773754.0
Asia,2021-04-23,36108926.0,487239.0,489365.0,4278.0,456245373.0
Asia,2021-04-24,36582367.0,473441.0,493725.0,4360.0,461450148.0
Asia,2021-04-25,37055441.0,473074.0,498316.0,4591.0,473674022.0
Asia,2021-04-26,37496433.0,440992.0,502792.0,4476.0,483360527.0
Asia,2021-04-27,37986440.0,490007.0,507788.0,4996.0,494679575.0
Asia,2021-04-28,38493117.0,506677.0,513101.0,5313.0,508597271.0
Asia,2021-04-29,39008339.0,515222.0,518339.0,5238.0,522533207.0
Asia,2021-04-30,39526714.0,518375.0,523514.0,5175.0,538706522.0
Australia,2021-04-01,29333.0,11.0,909.0,0.0,823611.0
Australia,2021-04-02,29341.0,8.0,909.0,0.0,828416.0
Australia,2021-04-03,29348.0,7.0,909.0,0.0,843182.0
Australia,2021-04-04,29357.0,9.0,909.0,0.0,844309.0
Australia,2021-04-05,29365.0,8.0,909.0,0.0,854983.0
Australia,2021-04-06,29379.0,14.0,909.0,0.0,920334.0
Australia,2021-04-07,29385.0,6.0,909.0,0.0,996145.0
Australia,2021-04-08,29390.0,5.0,909.0,0.0,1077511.0
Australia,2021-04-09,29396.0,6.0,909.0,0.0,1138866.0
Australia,2021-04-10,29405.0,9.0,909.0,0.0,1166568.0
Australia,2021-04-11,29419.0,14.0,909.0,0.0,1178302.0
Australia,2021-04-12,29429.0,10.0,910.0,1.0,1234681.0
Australia,2021-04-13,29450.0,21.0,910.0,0.0,1295672.0
Australia,2021-04-14,29469.0,19.0,910.0,0.0,1359665.0
Australia,2021-04-15,29484.0,15.0,910.0,0.0,1420577.0
Australia,2021-04-16,29499.0,15.0,910.0,0.0,1474558.0
Australia,2021-04-17,29519.0,20.0,910.0,0.0,1496912.0
Australia,2021-04-18,29533.0,14.0,910.0,0.0,1586556.0
Australia,2021-04-19,29556.0,23.0,910.0,0.0,1653286.0
Australia,2021-04-20,29576.0,20.0,910.0,0.0,1718107.0
Australia,2021-04-21,29594.0,18.0,910.0,0.0,1785338.0
Australia,2021-04-22,29638.0,44.0,910.0,0.0,1855601.0
Australia,2021-04-23,29653.0,15.0,910.0,0.0,1914047.0
Australia,2021-04-24,29663.0,10.0,910.0,0.0,1934077.0
Australia,2021-04-25,29680.0,17.0,910.0,0.0,1937485.0
Australia,2021-04-26,29717.0,37.0,910.0,0.0,1969337.0
Australia,2021-04-27,29750.0,33.0,910.0,0.0,2029544.0
Australia,2021-04-28,29773.0,23.0,910.0,0.0,2112285.0
Australia,2021-04-29,29798.0,25.0,910.0,0.0,2179544.0
Australia,2021-04-30,29811.0,13.0,910.0,0.0,2234844.0
Austria,2021-04-01,549592.0,3363.0,9368.0,29.0,1763052.0
Austria,2021-04-02,552729.0,3137.0,9397.0,29.0,1807477.0
Austria,2021-04-03,556012.0,3283.0,9434.0,37.0,1829423.0
Austria,2021-04-04,558755.0,2743.0,9449.0,15.0,1839570.0
Austria,2021-04-05,560972.0,2217.0,9482.0,33.0,1852227.0
Austria,2021-04-06,562907.0,1935.0,9517.0,35.0,1890810.0
Austria,2021-04-07,566008.0,3101.0,9546.0,29.0,1947042.0
Austria,2021-04-08,568914.0,2906.0,9586.0,40.0,2020433.0
Austria,2021-04-09,571616.0,2702.0,9624.0,38.0,2099630.0
Austria,2021-04-10,574755.0,3139.0,9662.0,38.0,2165411.0
Austria,2021-04-11,577007.0,2252.0,9687.0,25.0,2191498.0
Austria,2021-04-12,578950.0,1943.0,9706.0,19.0,2226874.0
Austria,2021-04-13,581263.0,2313.0,9748.0,42.0,2272433.0
Austria,2021-04-14,584205.0,2942.0,9779.0,31.0,2340541.0
Austria,2021-04-15,586883.0,2678.0,9813.0,34.0,2415540.0
Austria,2021-04-16,589299.0,2416.0,9843.0,30.0,2486452.0
Austria,2021-04-17,591347.0,2048.0,9870.0,27.0,2544706.0
Austria,2021-04-18,593423.0,2076.0,9898.0,28.0,2564026.0
Austria,2021-04-19,595540.0,2117.0,9922.0,24.0,2596053.0
Austria,2021-04-20,597566.0,2026.0,9959.0,37.0,2641862.0
Austria,2021-04-21,600089.0,2523.0,9997.0,38.0,2705638.0
Austria,2021-04-22,602494.0,2405.0,10026.0,29.0,2777111.0
Austria,2021-04-23,604823.0,2329.0,10055.0,29.0,2845903.0
Austria,2021-04-24,606954.0,2131.0,10070.0,15.0,2886389.0
Austria,2021-04-25,608979.0,2025.0,10087.0,17.0,2914418.0
Austria,2021-04-26,610545.0,1566.0,10098.0,11.0,2945555.0
Austria,2021-04-27,612170.0,1625.0,10126.0,28.0,2994130.0
Austria,2021-04-28,614510.0,2340.0,10152.0,26.0,3053006.0
Austria,2021-04-29,616739.0,2229.0,10179.0,27.0,3129753.0
Austria,2021-04-30,618870.0,2131.0,10205.0,26.0,3211141.0
Azerbaijan,2021-04-01,263961.0,2248.0,3593.0,26.0,856363.0
Azerbaijan,2021-04-02,266322.0,2361.0,3617.0,24.0,889033.0
Azerbaijan,2021-04-03,268174.0,1852.0,3648.0,31.0,924813.0
Azerbaijan,2021-04-04,270735.0,2561.0,3677.0,29.0,947745.0
Azerbaijan,2021-04-05,271834.0,1099.0,3711.0,34.0,947947.0
Azerbaijan,2021-04-06,273869.0,2035.0,3743.0,32.0,982291.0
Azerbaijan,2021-04-07,276464.0,2595.0,3780.0,37.0,1025790.0
Azerbaijan,2021-04-08,279181.0,2717.0,3811.0,31.0,1069488.0
Azerbaijan,2021-04-09,281387.0,2206.0,3846.0,35.0,1111722.0
Azerbaijan,2021-04-10,283579.0,2192.0,3879.0,33.0,1153549.0
Azerbaijan,2021-04-11,285993.0,2414.0,3915.0,36.0,1177087.0
