location,date,total_cases,new_cases,total_deaths,new_deaths,total_vaccinations
Africa,2021-08-01,6743250.0,34210.0,170987.0,920.0,66019326.0
Africa,2021-08-02,6777717.0,34467.0,171859.0,872.0,66855115.0
Africa,2021-08-03,6810421.0,32704.0,172864.0,1005.0,69038133.0
Africa,2021-08-04,6855602.0,45181.0,174000.0,1136.0,69469528.0
Africa,2021-08-05,6903411.0,47809.0,174904.0,904.0,70464984.0
Africa,2021-08-06,6945406.0,41995.0,175925.0,1021.0,70859501.0
Africa,2021-08-07,6981725.0,36319.0,176706.0,781.0,71252152.0
Africa,2021-08-08,7015368.0,33643.0,177421.0,715.0,71962954.0
Africa,2021-08-09,7048963.0,33595.0,178233.0,812.0,73805485.0
Africa,2021-08-10,7083466.0,34503.0,178861.0,628.0,74413305.0
Africa,2021-08-11,7118071.0,34605.0,179979.0,1118.0,74979084.0
Africa,2021-08-12,7164411.0,46340.0,181123.0,1144.0,76540905.0
Africa,2021-08-13,7204890.0,40479.0,182225.0,1102.0,77498765.0
Africa,2021-08-14,7238771.0,33881.0,182935.0,710.0,77756052.0
Africa,2021-08-15,7267679.0,28908.0,183653.0,718.0,78084365.0
Africa,2021-08-16,7297069.0,29390.0,184430.0,777.0,80700277.0
Africa,2021-08-17,7329346.0,32277.0,185490.0,1060.0,81504251.0
Africa,2021-08-18,7373300.0,43954.0,186511.0,1021.0,82889824.0
Africa,2021-08-19,7412637.0,39337.0,187267.0,756.0,84601491.0
Africa,2021-08-20,7449784.0,37147.0,187968.0,701.0,89961268.0
Africa,2021-08-21,7480643.0,30859.0,188598.0,630.0,90360637.0
Africa,2021-08-22,7508065.0,27422.0,189245.0,647.0,91022005.0
Africa,2021-08-23,7557086.0,49021.0,189958.0,713.0,92152072.0
Africa,2021-08-24,7586888.0,29802.0,190778.0,820.0,93249688.0
Africa,2021-08-25,7622971.0,36083.0,191776.0,998.0,96286118.0
Africa,2021-08-26,7661547.0,38576.0,192628.0,852.0,96420061.0
Africa,2021-08-27,7695561.0,34014.0,193392.0,764.0,99569696.0
Africa,2021-08-28,7723640.0,28079.0,194153.0,761.0,100242772.0
Africa,2021-08-29,7744705.0,21065.0,194828.0,675.0,101661177.0
Africa,2021-08-30,7767686.0,22981.0,195499.0,671.0,102239242.0
Africa,2021-08-31,7790394.0,22708.0,196278.0,779.0,103635420.0
Asia,2021-08-01,62268051.0,255807.0,903459.0,3942.0,2681449669.0
Asia,2021-08-02,62496991.0,228940.0,907412.0,3953.0,2712176681.0
Asia,2021-08-03,62779667.0,282676.0,912172.0,4760.0,2755366449.0
Asia,2021-08-04,63063920.0,284253.0,916771.0,4599.0,2789328571.0
Asia,2021-08-05,63348850.0,284930.0,922270.0,5499.0,2819855379.0
Asia,2021-08-06,63627288.0,278438.0,927006.0,4736.0,2848762268.0
Asia,2021-08-07,63886001.0,258713.0,931345.0,4339.0,2872387926.0
Asia,2021-08-08,64120768.0,234767.0,935704.0,4359.0,2896660358.0
Asia,2021-08-09,64384077.0,263309.0,940062.0,4358.0,2931057221.0
Asia,2021-08-10,64654864.0,270787.0,946015.0,5953.0,2960689732.0
Asia,2021-08-11,64947557.0,292693.0,950630.0,4615.0,2988998104.0
Asia,2021-08-12,65215272.0,267715.0,955326.0,4696.0,3012267430.0
Asia,2021-08-13,65510222.0,294950.0,959957.0,4631.0,3042433455.0
Asia,2021-08-14,65763789.0,253567.0,964255.0,4298.0,3063541856.0
Asia,2021-08-15,66020716.0,256927.0,968687.0,4432.0,3083461217.0
Asia,2021-08-16,66261504.0,240788.0,973906.0,5219.0,3114315530.0
Asia,2021-08-17,66537274.0,275770.0,978235.0,4329.0,3143201317.0
Asia,2021-08-18,66800520.0,263246.0,982551.0,4316.0,3170262225.0
Asia,2021-08-19,67068733.0,268213.0,987415.0,4864.0,3194760252.0
Asia,2021-08-20,67333053.0,264320.0,991927.0,4512.0,3220454217.0
Asia,2021-08-21,67576177.0,243124.0,996251.0,4324.0,3244671032.0
Asia,2021-08-22,67810796.0,234619.0,1000885.0,4634.0,3267713262.0
Asia,2021-08-23,68039724.0,228928.0,1005717.0,4832.0,3291102990.0
Asia,2021-08-24,68303812.0,264088.0,1010337.0,4620.0,3326734911.0
Asia,2021-08-25,68586474.0,282662.0,1014935.0,4598.0,3356653315.0
Asia,2021-08-26,68864480.0,278006.0,1019341.0,4406.0,3390320853.0
Asia,2021-08-27,69136059.0,271579.0,1023342.0,4001.0,3423891434.0
Asia,2021-08-28,69389916.0,253857.0,1027138.0,3796.0,3452704315.0
Asia,2021-08-29,69631552.0,241636.0,1030754.0,3616.0,3485353057.0
Asia,2021-08-30,69868455.0,236903.0,1034875.0,4121.0,3512665590.0
Asia,2021-08-31,70105232.0,236777.0,1037913.0,3038.0,3543449267.0
Bahrain,2021-08-01,269303.0,117.0,1384.0,0.0,2314773.0
Bahrain,2021-08-02,269401.0,98.0,1384.0,0.0,2323034.0
Bahrain,2021-08-03,269495.0,94.0,1384.0,0.0,2334559.0
Bahrain,2021-08-04,269617.0,122.0,1384.0,0.0,2341693.0
Bahrain,2021-08-05,269737.0,120.0,1384.0,0.0,2351581.0
Bahrain,2021-08-06,269848.0,111.0,1384.0,0.0,2357620.0
Bahrain,2021-08-07,269949.0,101.0,1384.0,0.0,2363305.0
Bahrain,2021-08-08,270060.0,111.0,1384.0,0.0,2372765.0
Bahrain,2021-08-09,270161.0,101.0,1384.0,0.0,2379542.0
Bahrain,2021-08-10,270290.0,129.0,1384.0,0.0,2388089.0
Bahrain,2021-08-11,270451.0,161.0,1384.0,0.0,2398427.0
Bahrain,2021-08-12,270590.0,139.0,1384.0,0.0,2407597.0
Bahrain,2021-08-13,270692.0,102.0,1384.0,0.0,2412624.0
Bahrain,2021-08-14,270816.0,124.0,1384.0,0.0,2418313.0
Bahrain,2021-08-15,270919.0,103.0,1384.0,0.0,2424960.0
