location,date,total_cases,new_cases,total_deaths,new_deaths,total_vaccinations
Asia,2021-02-01,23179554.0,65867.0,374310.0,985.0,40255254.0
Asia,2021-02-02,23248841.0,69287.0,375429.0,1119.0,40884938.0
Asia,2021-02-03,23325191.0,76350.0,376429.0,1000.0,48839339.0
Asia,2021-02-04,23398048.0,72857.0,377449.0,1020.0,49927466.0
Asia,2021-02-05,23466809.0,68761.0,378362.0,913.0,51121160.0
Asia,2021-02-06,23536509.0,69700.0,379230.0,868.0,51878548.0
Asia,2021-02-07,23602565.0,66056.0,380107.0,877.0,52203703.0
Asia,2021-02-08,23661993.0,59428.0,380999.0,892.0,53001272.0
Asia,2021-02-09,23729998.0,68005.0,381938.0,939.0,63233918.0
Asia,2021-02-10,23801051.0,71053.0,382908.0,970.0,64457111.0
Asia,2021-02-11,23866039.0,64988.0,383742.0,834.0,65392766.0
Asia,2021-02-12,23932834.0,66795.0,384624.0,882.0,66605690.0
Asia,2021-02-13,23995889.0,63055.0,385482.0,858.0,67685232.0
Asia,2021-02-14,24054564.0,58675.0,386282.0,800.0,68191807.0
Asia,2021-02-15,24113932.0,59368.0,386982.0,700.0,69685416.0
Asia,2021-02-16,24182681.0,68749.0,387904.0,922.0,71076438.0
Asia,2021-02-17,24252171.0,69490.0,388770.0,866.0,72636111.0
Asia,2021-02-18,24318890.0,66719.0,389631.0,861.0,74743222.0
Asia,2021-02-19,24386118.0,67228.0,390548.0,917.0,76029329.0
Asia,2021-02-20,24448821.0,62703.0,391456.0,908.0,77428975.0
Asia,2021-02-21,24516302.0,67481.0,392237.0,781.0,77942310.0
Asia,2021-02-22,24583551.0,67249.0,392991.0,754.0,79124727.0
Asia,2021-02-23,24657253.0,73702.0,393936.0,945.0,80634483.0
Asia,2021-02-24,24733680.0,76427.0,395443.0,1507.0,82056522.0
Asia,2021-02-25,24809663.0,75983.0,396394.0,951.0,83719951.0
Asia,2021-02-26,24884566.0,74903.0,397362.0,968.0,85077070.0
Asia,2021-02-27,24954600.0,70034.0,398145.0,783.0,86382360.0
Asia,2021-02-28,25022589.0,67989.0,398974.0,829.0,98859962.0
Austria,2021-02-01,415522.0,1124.0,7778.0,57.0,266789.0
Austria,2021-02-02,416763.0,1241.0,7847.0,69.0,284428.0
Austria,2021-02-03,418283.0,1520.0,7902.0,55.0,302820.0
Austria,2021-02-04,419801.0,1518.0,7936.0,34.0,323698.0
Austria,2021-02-05,421189.0,1388.0,7973.0,37.0,345104.0
Austria,2021-02-06,422522.0,1333.0,7994.0,21.0,354304.0
Austria,2021-02-07,423839.0,1317.0,8012.0,18.0,359336.0
Austria,2021-02-08,424896.0,1057.0,8032.0,20.0,369176.0
Austria,2021-02-09,426093.0,1197.0,8071.0,39.0,388940.0
Austria,2021-02-10,427562.0,1469.0,8114.0,43.0,411104.0
Austria,2021-02-11,429139.0,1577.0,8138.0,24.0,436115.0
Austria,2021-02-12,430870.0,1731.0,8170.0,32.0,463145.0
Austria,2021-02-13,432303.0,1433.0,8195.0,25.0,473653.0
Austria,2021-02-14,433487.0,1184.0,8211.0,16.0,475721.0
Austria,2021-02-15,434712.0,1225.0,8221.0,10.0,482896.0
Austria,2021-02-16,436139.0,1427.0,8260.0,39.0,497651.0
Austria,2021-02-17,437874.0,1735.0,8290.0,30.0,517451.0
Austria,2021-02-18,439841.0,1967.0,8312.0,22.0,537513.0
Austria,2021-02-19,441659.0,1818.0,8348.0,36.0,559075.0
Austria,2021-02-20,443536.0,1877.0,8368.0,20.0,572163.0
Austria,2021-02-21,445374.0,1838.0,8386.0,18.0,578197.0
Austria,2021-02-22,446644.0,1270.0,8397.0,11.0,585203.0
Austria,2021-02-23,448371.0,1727.0,8434.0,37.0,600269.0
Austria,2021-02-24,450376.0,2005.0,8470.0,36.0,620258.0
Austria,2021-02-25,452767.0,2391.0,8493.0,23.0,640437.0
Austria,2021-02-26,454860.0,2093.0,8515.0,22.0,670021.0
Austria,2021-02-27,457317.0,2457.0,8538.0,23.0,695222.0
Austria,2021-02-28,459440.0,2123.0,8561.0,23.0,705421.0
Belgium,2021-02-01,711417.0,1264.0,21124.0,32.0,350829.0
Belgium,2021-02-02,713271.0,1854.0,21173.0,49.0,375530.0
Belgium,2021-02-03,716395.0,3124.0,21216.0,43.0,406575.0
Belgium,2021-02-04,718847.0,2452.0,21260.0,44.0,441062.0
Belgium,2021-02-05,721432.0,2585.0,21295.0,35.0,472195.0
Belgium,2021-02-06,723870.0,2438.0,21352.0,57.0,478764.0
Belgium,2021-02-07,725610.0,1740.0,21389.0,37.0,482184.0
Belgium,2021-02-08,726483.0,873.0,21423.0,34.0,492452.0
Belgium,2021-02-09,728334.0,1851.0,21472.0,49.0,520525.0
Belgium,2021-02-10,730951.0,2617.0,21512.0,40.0,546319.0
Belgium,2021-02-11,733100.0,2149.0,21551.0,39.0,583013.0
