location,date,total_cases,new_cases,total_deaths,new_deaths,total_vaccinations
Asia,2021-01-01,20811596.0,95351.0,339233.0,1579.0,5630574.0
Asia,2021-01-02,20862424.0,50828.0,340111.0,878.0,5703688.0
Asia,2021-01-03,20932083.0,69659.0,341277.0,1166.0,5855399.0
Asia,2021-01-04,21004254.0,72171.0,342346.0,1069.0,6010191.0
Asia,2021-01-05,21086749.0,82495.0,343575.0,1229.0,6965746.0
Asia,2021-01-06,21174329.0,87580.0,344643.0,1068.0,7212592.0
Asia,2021-01-07,21261955.0,87626.0,345785.0,1142.0,7394535.0
Asia,2021-01-08,21329390.0,67435.0,346681.0,896.0,7520848.0
Asia,2021-01-09,21434352.0,104962.0,347981.0,1300.0,12190515.0
Asia,2021-01-10,21510828.0,76476.0,348953.0,972.0,12306260.0
Asia,2021-01-11,21585205.0,74377.0,349949.0,996.0,12436347.0
Asia,2021-01-12,21667187.0,81982.0,351333.0,1384.0,12614654.0
Asia,2021-01-13,21754235.0,87048.0,352664.0,1331.0,13844463.0
Asia,2021-01-14,21840686.0,86451.0,353827.0,1163.0,14383734.0
Asia,2021-01-15,21923274.0,82588.0,355030.0,1203.0,14925615.0
Asia,2021-01-16,22009007.0,85733.0,356138.0,1108.0,15482107.0
Asia,2021-01-17,22084190.0,75183.0,357185.0,1047.0,15783090.0
Asia,2021-01-18,22148742.0,64552.0,358255.0,1070.0,16418735.0
Asia,2021-01-19,22223494.0,74752.0,359481.0,1226.0,17068174.0
Asia,2021-01-20,22305228.0,81734.0,360669.0,1188.0,22619127.0
Asia,2021-01-21,22381567.0,76339.0,361916.0,1247.0,23242782.0
Asia,2021-01-22,22457225.0,75658.0,362965.0,1049.0,24065373.0
Asia,2021-01-23,22530405.0,73180.0,364011.0,1046.0,24589992.0
Asia,2021-01-24,22597309.0,66904.0,365032.0,1021.0,24930860.0
Asia,2021-01-25,22657024.0,59715.0,366152.0,1120.0,25715194.0
Asia,2021-01-26,22732239.0,75215.0,367374.0,1222.0,26257525.0
Asia,2021-01-27,22812215.0,79976.0,368639.0,1265.0,34872704.0
Asia,2021-01-28,22895127.0,82912.0,369999.0,1360.0,36050091.0
Asia,2021-01-29,22971924.0,76797.0,370969.0,970.0,37139808.0
Asia,2021-01-30,23046198.0,74274.0,372240.0,1271.0,37769348.0
Asia,2021-01-31,23113687.0,67489.0,373325.0,1085.0,39480869.0
Austria,2021-01-01,362911.0,2096.0,6261.0,39.0,5086.0
Austria,2021-01-02,364302.0,1391.0,6275.0,14.0,5096.0
Austria,2021-01-03,365768.0,1466.0,6324.0,49.0,5103.0
Austria,2021-01-04,367410.0,1642.0,6357.0,33.0,5231.0
Austria,2021-01-05,369721.0,2311.0,6457.0,100.0,7036.0
Austria,2021-01-06,372190.0,2469.0,6525.0,68.0,7890.0
Austria,2021-01-07,374730.0,2540.0,6568.0,43.0,11180.0
Austria,2021-01-08,376793.0,2063.0,6641.0,73.0,24380.0
Austria,2021-01-09,379071.0,2278.0,6687.0,46.0,28897.0
Austria,2021-01-10,380722.0,1651.0,6723.0,36.0,31139.0
Austria,2021-01-11,382258.0,1536.0,6747.0,24.0,36824.0
Austria,2021-01-12,383833.0,1575.0,6819.0,72.0,51822.0
Austria,2021-01-13,385750.0,1917.0,6868.0,49.0,67957.0
Austria,2021-01-14,389260.0,3510.0,6921.0,53.0,84908.0
Austria,2021-01-15,390788.0,1528.0,6987.0,66.0,103425.0
Austria,2021-01-16,392511.0,1723.0,7053.0,66.0,110307.0
Austria,2021-01-17,393778.0,1267.0,7082.0,29.0,116015.0
Austria,2021-01-18,394939.0,1161.0,7122.0,40.0,127489.0
Austria,2021-01-19,396425.0,1486.0,7199.0,77.0,153687.0
Austria,2021-01-20,398096.0,1671.0,7237.0,38.0,177377.0
Austria,2021-01-21,399798.0,1702.0,7288.0,51.0,197360.0
Austria,2021-01-22,401886.0,2088.0,7330.0,42.0,208938.0
Austria,2021-01-23,403512.0,1626.0,7389.0,59.0,212096.0
Austria,2021-01-24,404714.0,1202.0,7418.0,29.0,213365.0
Austria,2021-01-25,405723.0,1009.0,7451.0,33.0,214892.0
Austria,2021-01-26,407140.0,1417.0,7515.0,64.0,223649.0
Austria,2021-01-27,408781.0,1641.0,7564.0,49.0,231729.0
Austria,2021-01-28,410230.0,1449.0,7607.0,43.0,241728.0
Austria,2021-01-29,411730.0,1500.0,7658.0,51.0,256892.0
Austria,2021-01-30,413208.0,1478.0,7703.0,45.0,260620.0
Austria,2021-01-31,414398.0,1190.0,7721.0,18.0,262044.0
Canada,2021-01-01,591149.0,3720.0,15806.0,44.0,103790.0
Canada,2021-01-02,598091.0,6942.0,15914.0,108.0,108732.0
Canada,2021-01-03,608734.0,10643.0,16006.0,92.0,114034.0
Canada,2021-01-04,618801.0,10067.0,16247.0,241.0,137735.0
Canada,2021-01-05,626129.0,7328.0,16389.0,142.0,155197.0
Canada,2021-01-06,634437.0,8308.0,16539.0,150.0,183360.0
Canada,2021-01-07,642978.0,8541.0,16704.0,165.0,219446.0
Canada,2021-01-08,652373.0,9395.0,16846.0,142.0,260654.0
Canada,2021-01-09,659647.0,7274.0,16984.0,138.0,296241.0
Canada,2021-01-10,666375.0,6728.0,17074.0,90.0,319603.0
Canada,2021-01-11,674624.0,8249.0,17199.0,125.0,359049.0
Canada,2021-01-12,681015.0,6391.0,17359.0,160.0,388493.0
Canada,2021-01-13,688097.0,7082.0,17539.0,180.0,419209.0
Canada,2021-01-14,695359.0,7262.0,17686.0,147.0,459492.0
Canada,2021-01-15,702203.0,6844.0,17856.0,170.0,507687.0
Canada,2021-01-16,708263.0,6060.0,17978.0,122.0,543291.0
Canada,2021-01-17,714316.0,6053.0,18106.0,128.0,570742.0
Canada,2021-01-18,720440.0,6124.0,18231.0,125.0,614666.0
Canada,2021-01-19,725599.0,5159.0,18382.0,151.0,653653.0
Canada,2021-01-20,731371.0,5772.0,18567.0,185.0,696242.0
Canada,2021-01-21,737654.0,6283.0,18706.0,139.0,738864.0
Canada,2021-01-22,743384.0,5730.0,18887.0,181.0,776606.0
Canada,2021-01-23,748123.0,4739.0,18992.0,105.0,801238.0
Canada,2021-01-24,752510.0,4387.0,19119.0,127.0,816451.0
Canada,2021-01-25,758142.0,5632.0,19245.0,126.0,839949.0
Canada,2021-01-26,762368.0,4226.0,19392.0,147.0,868454.0
Canada,2021-01-27,766633.0,4265.0,19485.0,93.0,891324.0
Canada,2021-01-28,771358.0,4725.0,19676.0,191.0,916027.0
Canada,2021-01-29,776171.0,4813.0,19825.0,149.0,937199.0
Canada,2021-01-30,780147.0,3976.0,19958.0,133.0,952212.0
Canada,2021-01-31,783735.0,3588.0,20041.0,83.0,957229.0
Chile,2021-01-01,612564.0,3591.0,16660.0,52.0,8656.0
Chile,2021-01-02,615902.0,3338.0,16724.0,64.0,8656.0
Chile,2021-01-03,618191.0,2289.0,16767.0,43.0,8656.0
Chile,2021-01-04,620641.0,2450.0,16767.0,0.0,9061.0
Chile,2021-01-05,623101.0,2460.0,16788.0,21.0,10504.0
Chile,2021-01-06,625483.0,2382.0,16816.0,28.0,10709.0
Chile,2021-01-07,629176.0,3693.0,16913.0,97.0,10709.0
Chile,2021-01-08,633381.0,4205.0,16974.0,61.0,10709.0
