location,date,total_cases,new_cases,total_deaths,new_deaths,total_vaccinations
Africa,2021-07-01,5547416.0,42903.0,143728.0,793.0,49084712.0
Africa,2021-07-02,5590590.0,43174.0,144411.0,683.0,49245678.0
Africa,2021-07-03,5633995.0,43405.0,144899.0,488.0,49524849.0
Africa,2021-07-04,5665738.0,31743.0,145525.0,626.0,49901604.0
Africa,2021-07-05,5694097.0,28359.0,147038.0,1513.0,50949060.0
Africa,2021-07-06,5730967.0,36870.0,147872.0,834.0,51389795.0
Africa,2021-07-07,5775391.0,44424.0,148686.0,814.0,51651711.0
Africa,2021-07-08,5822705.0,47314.0,149596.0,910.0,52267214.0
Africa,2021-07-09,5869314.0,46609.0,150470.0,874.0,52562204.0
Africa,2021-07-10,5914780.0,45466.0,151160.0,690.0,52682109.0
Africa,2021-07-11,5950233.0,35453.0,151769.0,609.0,52780382.0
Africa,2021-07-12,5984738.0,34505.0,152397.0,628.0,54383935.0
Africa,2021-07-13,6023213.0,38475.0,153482.0,1085.0,54949068.0
Africa,2021-07-14,6067422.0,44209.0,154541.0,1059.0,55250553.0
Africa,2021-07-15,6116032.0,48610.0,155442.0,901.0,56515050.0
Africa,2021-07-16,6157430.0,41398.0,156446.0,1004.0,56629037.0
Africa,2021-07-17,6196307.0,38877.0,157218.0,772.0,56811495.0
Africa,2021-07-18,6232491.0,36184.0,157893.0,675.0,57078155.0
Africa,2021-07-19,6262726.0,30235.0,158616.0,723.0,58384178.0
Africa,2021-07-20,6296294.0,33568.0,159664.0,1048.0,58739535.0
Africa,2021-07-21,6329693.0,33399.0,160590.0,926.0,58826405.0
Africa,2021-07-22,6368325.0,38632.0,161583.0,993.0,59890150.0
Africa,2021-07-23,6399891.0,31566.0,162382.0,799.0,60260918.0
Africa,2021-07-24,6435262.0,35371.0,163456.0,1074.0,60508020.0
Africa,2021-07-25,6468158.0,32896.0,164341.0,885.0,61197721.0
Africa,2021-07-26,6502301.0,34143.0,165239.0,898.0,62065425.0
Africa,2021-07-27,6533684.0,31383.0,166100.0,861.0,62991777.0
Africa,2021-07-28,6582367.0,48683.0,167111.0,1011.0,63742439.0
Africa,2021-07-29,6630103.0,47736.0,168401.0,1290.0,64829895.0
Africa,2021-07-30,6673126.0,43023.0,169201.0,800.0,65272432.0
Africa,2021-07-31,6709040.0,35914.0,170067.0,866.0,65439582.0
Argentina,2021-07-01,4491551.0,21177.0,94772.0,468.0,20907721.0
Argentina,2021-07-02,4512439.0,20888.0,95382.0,610.0,21310026.0
Argentina,2021-07-03,4526473.0,14034.0,95594.0,212.0,21781425.0
Argentina,2021-07-04,4535473.0,9000.0,95904.0,310.0,22179930.0
Argentina,2021-07-05,4552750.0,17277.0,96521.0,617.0,22444129.0
Argentina,2021-07-06,4574340.0,21590.0,96983.0,462.0,22813398.0
Argentina,2021-07-07,4593763.0,19423.0,97439.0,456.0,23317413.0
Argentina,2021-07-08,4613019.0,19256.0,97904.0,465.0,23722105.0
