location,date,total_cases,new_cases,total_deaths,new_deaths,total_vaccinations
Africa,2021-06-01,4850434.0,10139.0,130954.0,320.0,33811824.0
Africa,2021-06-02,4864246.0,13812.0,131265.0,311.0,34313737.0
Africa,2021-06-03,4879067.0,14821.0,131516.0,251.0,34777443.0
Africa,2021-06-04,4894004.0,14937.0,131794.0,278.0,35024406.0
Africa,2021-06-05,4906712.0,12708.0,132052.0,258.0,35258269.0
Africa,2021-06-06,4919478.0,12766.0,132300.0,248.0,35499875.0
Africa,2021-06-07,4930833.0,11355.0,132578.0,278.0,36082955.0
Africa,2021-06-08,4943817.0,12984.0,132992.0,414.0,37188892.0
Africa,2021-06-09,4962372.0,18555.0,133356.0,364.0,38220307.0
Africa,2021-06-10,4984115.0,21743.0,133674.0,318.0,38836032.0
Africa,2021-06-11,5004028.0,19913.0,134054.0,380.0,39209078.0
Africa,2021-06-12,5024889.0,20861.0,134387.0,333.0,39520074.0
Africa,2021-06-13,5041772.0,16883.0,134659.0,272.0,39608060.0
Africa,2021-06-14,5057430.0,15658.0,134995.0,336.0,40472051.0
Africa,2021-06-15,5077281.0,19851.0,135470.0,475.0,41466546.0
Africa,2021-06-16,5103580.0,26299.0,135887.0,417.0,41795578.0
Africa,2021-06-17,5130858.0,27278.0,136270.0,383.0,42179059.0
Africa,2021-06-18,5154963.0,24105.0,136661.0,391.0,42520531.0
Africa,2021-06-19,5178703.0,23740.0,137078.0,417.0,42651690.0
Africa,2021-06-20,5201711.0,23008.0,137458.0,380.0,43315836.0
Africa,2021-06-21,5225510.0,23799.0,137947.0,489.0,44038203.0
Africa,2021-06-22,5248266.0,22756.0,138582.0,635.0,44160883.0
Africa,2021-06-23,5281145.0,32879.0,139088.0,506.0,44801997.0
Africa,2021-06-24,5315207.0,34062.0,139635.0,547.0,46139681.0
Africa,2021-06-25,5350290.0,35083.0,140163.0,528.0,46505062.0
Africa,2021-06-26,5384871.0,34581.0,140655.0,492.0,46700046.0
Africa,2021-06-27,5412381.0,27510.0,141103.0,448.0,46983983.0
Africa,2021-06-28,5437337.0,24956.0,141633.0,530.0,47874526.0
Africa,2021-06-29,5465711.0,28374.0,142154.0,521.0,48142113.0
Africa,2021-06-30,5504513.0,38802.0,142935.0,781.0,48664662.0
Argentina,2021-06-01,3817139.0,35355.0,78733.0,640.0,12497078.0
Argentina,2021-06-02,3852156.0,35017.0,79320.0,587.0,12801115.0
Argentina,2021-06-03,3884447.0,32291.0,79873.0,553.0,13079195.0
Argentina,2021-06-04,3915397.0,30950.0,80411.0,538.0,13374067.0
Argentina,2021-06-05,3939024.0,23627.0,80867.0,456.0,13730521.0
Argentina,2021-06-06,3955439.0,16415.0,81214.0,347.0,14092493.0
Argentina,2021-06-07,3977634.0,22195.0,81946.0,732.0,14336164.0
Argentina,2021-06-08,4008771.0,31137.0,82667.0,721.0,14663805.0
Argentina,2021-06-09,4038528.0,29757.0,83272.0,605.0,15012734.0
Argentina,2021-06-10,4066156.0,27628.0,83941.0,669.0,15353408.0
Argentina,2021-06-11,4093090.0,26934.0,84628.0,687.0,15730223.0
Argentina,2021-06-12,4111147.0,18057.0,85075.0,447.0,16102741.0
Argentina,2021-06-13,4124190.0,13043.0,85343.0,268.0,16286902.0
Argentina,2021-06-14,4145482.0,21292.0,86029.0,686.0,16382043.0
Argentina,2021-06-15,4172742.0,27260.0,86615.0,586.0,16643769.0
Argentina,2021-06-16,4198620.0,25878.0,87261.0,646.0,16876619.0
