location,date,total_cases,new_cases,total_deaths,new_deaths,total_vaccinations
Africa,2021-03-01,3906066.0,8789.0,104021.0,315.0,4092105.0
Africa,2021-03-02,3913617.0,7551.0,104384.0,363.0,4253030.0
Africa,2021-03-03,3924481.0,10864.0,104660.0,276.0,4424425.0
Africa,2021-03-04,3937059.0,12578.0,104991.0,331.0,4570416.0
Africa,2021-03-05,3945600.0,8541.0,105216.0,225.0,4808377.0
Africa,2021-03-06,3955564.0,9964.0,105481.0,265.0,5013434.0
Africa,2021-03-07,3964026.0,8462.0,105712.0,231.0,5054444.0
Africa,2021-03-08,3973311.0,9285.0,106091.0,379.0,5402720.0
Africa,2021-03-09,3981116.0,7805.0,106380.0,289.0,5543143.0
Africa,2021-03-10,3991537.0,10421.0,106681.0,301.0,5883345.0
Africa,2021-03-11,4006781.0,15244.0,107004.0,323.0,6071753.0
Africa,2021-03-12,4016647.0,9866.0,107232.0,228.0,6381772.0
Africa,2021-03-13,4027005.0,10358.0,107526.0,294.0,6785420.0
Africa,2021-03-14,4035566.0,8561.0,107777.0,251.0,6801943.0
Africa,2021-03-15,4044010.0,8444.0,108086.0,309.0,7194978.0
Africa,2021-03-16,4053064.0,9054.0,108394.0,308.0,7430457.0
Africa,2021-03-17,4064041.0,10977.0,108671.0,277.0,7632156.0
Africa,2021-03-18,4075344.0,11303.0,108932.0,261.0,7819596.0
Africa,2021-03-19,4087987.0,12643.0,109477.0,545.0,8102429.0
Africa,2021-03-20,4097217.0,9230.0,109674.0,197.0,8194788.0
Africa,2021-03-21,4106361.0,9144.0,109903.0,229.0,8216336.0
Africa,2021-03-22,4116074.0,9713.0,110163.0,260.0,8338577.0
Africa,2021-03-23,4124688.0,8614.0,110485.0,322.0,8484800.0
Africa,2021-03-24,4135534.0,10846.0,110805.0,320.0,9420911.0
Africa,2021-03-25,4148063.0,12529.0,111193.0,388.0,9709302.0
Africa,2021-03-26,4166513.0,18450.0,111535.0,342.0,9977830.0
