location,date,total_cases,new_cases,total_deaths,new_deaths,total_vaccinations
Africa,2021-05-01,4565641.0,7977.0,122067.0,284.0,18680562.0
Africa,2021-05-02,4571830.0,6189.0,122297.0,230.0,18737253.0
Africa,2021-05-03,4578738.0,6908.0,122554.0,257.0,18912400.0
Africa,2021-05-04,4586012.0,7274.0,122889.0,335.0,19208526.0
Africa,2021-05-05,4595641.0,9629.0,123233.0,344.0,19465156.0
Africa,2021-05-06,4608918.0,13277.0,123616.0,383.0,19624727.0
Africa,2021-05-07,4618298.0,9380.0,123905.0,289.0,20217766.0
Africa,2021-05-08,4624699.0,6401.0,124137.0,232.0,20470293.0
Africa,2021-05-09,4634430.0,9731.0,124394.0,257.0,21199764.0
Africa,2021-05-10,4641387.0,6957.0,124745.0,351.0,21661168.0
Africa,2021-05-11,4648644.0,7257.0,125059.0,314.0,22093409.0
Africa,2021-05-12,4657684.0,9040.0,125365.0,306.0,23173673.0
Africa,2021-05-13,4666330.0,8646.0,125595.0,230.0,23349102.0
Africa,2021-05-14,4674501.0,8171.0,125846.0,251.0,23545212.0
Africa,2021-05-15,4681495.0,6994.0,126086.0,240.0,23859298.0
Africa,2021-05-16,4688650.0,7155.0,126309.0,223.0,23952426.0
Africa,2021-05-17,4695984.0,7334.0,126567.0,258.0,24419391.0
Africa,2021-05-18,4706661.0,10677.0,126889.0,322.0,25194293.0
Africa,2021-05-19,4716811.0,10150.0,127244.0,355.0,25785942.0
Africa,2021-05-20,4728319.0,11508.0,127614.0,370.0,26225226.0
Africa,2021-05-21,4738489.0,10170.0,127986.0,372.0,27003443.0
Africa,2021-05-22,4748478.0,9989.0,128195.0,209.0,27828521.0
Africa,2021-05-23,4756617.0,8139.0,128396.0,201.0,28053599.0
Africa,2021-05-24,4765118.0,8501.0,128676.0,280.0,28573801.0
Africa,2021-05-25,4770956.0,5838.0,128955.0,279.0,29272846.0
Africa,2021-05-26,4785141.0,14185.0,129259.0,304.0,29659348.0
Africa,2021-05-27,4796831.0,11690.0,129549.0,290.0,29882000.0
Africa,2021-05-28,4809277.0,12446.0,129849.0,300.0,30063329.0
Africa,2021-05-29,4821151.0,11874.0,130102.0,253.0,30663011.0
Africa,2021-05-30,4827119.0,5968.0,130304.0,202.0,30985815.0
Africa,2021-05-31,4840295.0,13176.0,130634.0,330.0,33013477.0
Argentina,2021-05-01,2993865.0,16502.0,64096.0,231.0,7971470.0
Argentina,2021-05-02,3005259.0,11394.0,64252.0,156.0,7997902.0
Argentina,2021-05-03,3021179.0,15920.0,64792.0,540.0,8039793.0
Argentina,2021-05-04,3047417.0,26238.0,65202.0,410.0,8197011.0
Argentina,2021-05-05,3071496.0,24079.0,65865.0,663.0,8391513.0
Argentina,2021-05-06,3095582.0,24086.0,66263.0,398.0,8591061.0
Argentina,2021-05-07,3118134.0,22552.0,66872.0,609.0,8820691.0
Argentina,2021-05-08,3136158.0,18024.0,67042.0,170.0,9001747.0
Argentina,2021-05-09,3147740.0,11582.0,67325.0,283.0,9082597.0
Argentina,2021-05-10,3165121.0,17381.0,67821.0,496.0,9122759.0
Argentina,2021-05-11,3191097.0,25976.0,68311.0,490.0,9237005.0
Argentina,2021-05-12,3215572.0,24475.0,68807.0,496.0,9383945.0
Argentina,2021-05-13,3242103.0,26531.0,69254.0,447.0,9541511.0
Argentina,2021-05-14,3269466.0,27363.0,69853.0,599.0,9704364.0
Argentina,2021-05-15,3290935.0,21469.0,70253.0,400.0,9862623.0
Argentina,2021-05-16,3307285.0,16350.0,70522.0,269.0,9927783.0
Argentina,2021-05-17,3335965.0,28680.0,71027.0,505.0,10002830.0
Argentina,2021-05-18,3371508.0,35543.0,71771.0,744.0,10193368.0
Argentina,2021-05-19,3411160.0,39652.0,72265.0,494.0,10383925.0
Argentina,2021-05-20,3447044.0,35884.0,72699.0,434.0,10549521.0
Argentina,2021-05-21,3482512.0,35468.0,73391.0,692.0,10758782.0
Argentina,2021-05-22,3514683.0,32171.0,73688.0,297.0,10958659.0
Argentina,2021-05-23,3539484.0,24801.0,74063.0,375.0,11067550.0
Argentina,2021-05-24,3562135.0,22651.0,74480.0,417.0,11149468.0
Argentina,2021-05-25,3586736.0,24601.0,75056.0,576.0,11242209.0
Argentina,2021-05-26,3622135.0,35399.0,75588.0,532.0,11331066.0
Argentina,2021-05-27,3663215.0,41080.0,76135.0,547.0,11503476.0
Argentina,2021-05-28,3702422.0,39207.0,76693.0,558.0,11676733.0
Argentina,2021-05-29,3732263.0,29841.0,77108.0,415.0,11906697.0
Argentina,2021-05-30,3753609.0,21346.0,77456.0,348.0,12119901.0
Argentina,2021-05-31,3781784.0,28175.0,78093.0,637.0,12257297.0
Asia,2021-05-01,40023990.0,497276.0,528692.0,5178.0,546364296.0
Asia,2021-05-02,40501365.0,477375.0,533809.0,5117.0,552773767.0
Asia,2021-05-03,40960906.0,459541.0,538839.0,5030.0,560332328.0
Asia,2021-05-04,41447846.0,486940.0,544043.0,5204.0,571196993.0
Asia,2021-05-05,41965858.0,518012.0,549718.0,5675.0,580250206.0
Asia,2021-05-06,42490987.0,525129.0,555333.0,5615.0,593685676.0
Asia,2021-05-07,42996083.0,505096.0,561049.0,5716.0,609327676.0
Asia,2021-05-08,43494831.0,498748.0,566635.0,5586.0,621985799.0
Asia,2021-05-09,43950939.0,456108.0,572225.0,5590.0,630697648.0
Asia,2021-05-10,44370050.0,419111.0,577734.0,5509.0,645693314.0
Asia,2021-05-11,44813452.0,443402.0,583615.0,5881.0,661311921.0
Asia,2021-05-12,45266244.0,452792.0,589274.0,5659.0,676597519.0
Asia,2021-05-13,45696543.0,430299.0,594735.0,5461.0,693567656.0
Asia,2021-05-14,46095873.0,399330.0,599957.0,5222.0,709958287.0
Asia,2021-05-15,46478649.0,382776.0,605351.0,5394.0,725081799.0
Asia,2021-05-16,46834551.0,355902.0,611061.0,5710.0,741355075.0
Asia,2021-05-17,47181469.0,346918.0,616983.0,5922.0,760617788.0
Asia,2021-05-18,47533909.0,352440.0,623186.0,6203.0,779173442.0
Asia,2021-05-19,47898148.0,364239.0,628669.0,5483.0,796103000.0
Asia,2021-05-20,48244810.0,346662.0,634357.0,5688.0,818970558.0
Asia,2021-05-21,48589261.0,344451.0,640010.0,5653.0,839035078.0
Asia,2021-05-22,48909870.0,320609.0,645105.0,5095.0,857196841.0
Asia,2021-05-23,49205786.0,295916.0,650740.0,5635.0,873500423.0
Asia,2021-05-24,49482447.0,276661.0,655626.0,4886.0,895896604.0
Asia,2021-05-25,49774840.0,292393.0,661052.0,5426.0,920045864.0
Asia,2021-05-26,50066308.0,291468.0,666208.0,5156.0,945333071.0
Asia,2021-05-27,50339265.0,272957.0,671188.0,4980.0,969364593.0
