location,date,total_cases,new_cases,total_deaths,new_deaths,total_vaccinations
Africa,2021-09-01,7821187.0,30793.0,196917.0,639.0,105850548.0
Africa,2021-09-02,7849133.0,27946.0,197763.0,846.0,106263281.0
Africa,2021-09-03,7875468.0,26335.0,198378.0,615.0,106878995.0
Africa,2021-09-04,7896475.0,21007.0,198891.0,513.0,111349211.0
Africa,2021-09-05,7914377.0,17902.0,199265.0,374.0,113582311.0
Africa,2021-09-06,7931485.0,17108.0,199804.0,539.0,115264816.0
Africa,2021-09-07,7951066.0,19581.0,200420.0,616.0,115841722.0
Africa,2021-09-08,7974521.0,23455.0,200925.0,505.0,116541927.0
Africa,2021-09-09,7996440.0,21919.0,201492.0,567.0,117985038.0
Africa,2021-09-10,8015983.0,19543.0,202104.0,612.0,119114428.0
Africa,2021-09-11,8031624.0,15641.0,202495.0,391.0,120907867.0
Africa,2021-09-12,8044725.0,13101.0,202878.0,383.0,123753195.0
Africa,2021-09-13,8057274.0,12549.0,203316.0,438.0,124358102.0
Africa,2021-09-14,8082453.0,25179.0,203924.0,608.0,127200349.0
Africa,2021-09-15,8099768.0,17315.0,204361.0,437.0,128651255.0
Africa,2021-09-16,8121147.0,21379.0,204942.0,581.0,130252856.0
Africa,2021-09-17,8137175.0,16028.0,205386.0,444.0,130634068.0
Africa,2021-09-18,8148506.0,11331.0,205768.0,382.0,131190918.0
Africa,2021-09-19,8157924.0,9418.0,206017.0,249.0,133958321.0
Africa,2021-09-20,8169016.0,11092.0,206338.0,321.0,134928719.0
Africa,2021-09-21,8180496.0,11480.0,206744.0,406.0,135560448.0
Africa,2021-09-22,8196449.0,15953.0,207216.0,472.0,138219234.0
Africa,2021-09-23,8211095.0,14646.0,207678.0,462.0,141052499.0
Africa,2021-09-24,8223351.0,12256.0,208240.0,562.0,141469213.0
Africa,2021-09-25,8233045.0,9694.0,208523.0,283.0,146824864.0
Africa,2021-09-26,8238944.0,5899.0,208753.0,230.0,147727293.0
Africa,2021-09-27,8248063.0,9119.0,209210.0,457.0,150491887.0
Africa,2021-09-28,8256838.0,8775.0,209598.0,388.0,151620246.0
Africa,2021-09-29,8272688.0,15850.0,209931.0,333.0,152083708.0
Africa,2021-09-30,8286283.0,13595.0,210407.0,476.0,154121568.0
Argentina,2021-09-01,5190948.0,5328.0,112005.0,193.0,42792677.0
